EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
													
													
EDCS-03000604	CAG-79, p 270 = AE 1996, 01048	Aquitani(c)a	Perigne / Pictones	236	237		[Imp(erator) Caes(ar) C(aius) Iul(ius) V]erus Maxi[minus] / [Pius Fel(ix) A]ug(ustus) pontifex maxi[mus] / [trib(unicia) pot(estate) I]II co(n)s(ul) proco(n)s(ul) / [p(ater) p(atriae) 3]s et G(aius) Iul(ius) Verus / [Maximus nob(ilissimus) Caes(ar) trib(unicia)] potes(tate) III(!) co(n)s(ul) / [princeps] i(u)vent(utis) vias / [et pontes vetust(ate) conlaps(os) 3]po restituer(unt) / [X]X	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD050246 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD050246	46.1875362	-0.2536718			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$AE_1996_01048.jpg
EDCS-12400055	CIL 17-02, 00326 = CIL 13, 08874 = ILA-Vell 00060 = CAG-43, p 134	Aquitani(c)a	Saint-Paulien / Ruessio / Ruessium	237	237	Augusti/Augustae; miliaria; tituli operum; viri	"[Imp(erator) Caes(ar) C(aius) Iul(ius)] / [Veru]s [Maximinus] / [P(ius) Fel(ix) Aug(ustus) p(ontifex) m(aximus) tr(ibunicia) p(otestate) III] / [co(n)s(ul) procons(ul) p(ater) p(atriae) imp(erator) V et] / [C(aius) Iul(ius) Verus Maximus nob(ilissimus) Ca]es(ar) princeps / [iu]vent(utis) vias et / [po]ntes vetus/[tate] conlapsas / [res]titue[runt
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=G160100700060	45.1358502	3.8131147			
EDCS-12400098	CIL 17-02, 00367 = CIL 13, 08940 = CAG-18, p 251	Aquitani(c)a	Trouy	237	237	Augusti/Augustae; miliaria; tituli operum; viri	"[Imp(erator) Caes(ar) C(aius) Iulius V]erus Maxi/[minus Pius] Felix Aug(ustus) p(ontifex) m(aximus) tr(ibunicia) p(otestate) III / [imp(erator) V co(n)s(ul)] p(ater) p(atriae) Germanicus ma/[xim(us) et C(aius) Iul(ius)] Verus Maximus no/[bilissimus C]aes(ar) princeps / [iuventutis] vias et pontes vetus/[tate conla]psas restituerunt / [Avaric(o) l(eugas)] XVIIII f(inibus) l(eugas) IIII
material: lapis"		47.0088361	2.3565352			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$CIL_13_08940.jpg
EDCS-09701217	AE 1969/70, 00624	Arabia	Es Souwelih	213	213	Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) / Aurel(ius) Antoni/nus Pius Felix / Aug(ustus) Pa[rt]h(icus) max(imus) / B[ri]t(annicus) max(imus) pont(ifex) / max(imus) t[ri]b(unicia) pot(estate) / XVI imp(erator) II / co(n)s(ul) IIII p(ater) p(atriae) / proco(n)s(ul) vias / et pontes res/tituit
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD012391 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD012391					
EDCS-03000830	AE 1996, 01627	Arabia	Sarabit al Mahattah	212	213	Augusti/Augustae; tituli operum; viri	Imp(erator) Caesar M(arcus) / Aur(elius) Antoninus / Pius Felix Aug(ustus) Parthic(us) / max(imus) Britannic(us) max(imus) / pontifex max(imus) trib(unicia) / pot(estate) XVI imp(erator) II co(n)s(ul) IIII / p(ater) p(atriae) proco(n)s(ul) vias et / pontes restituit / a Hesb(unte) m(ilia) VI	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD051502 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD051502					
EDCS-12400252	CIL 17-02, 00513 = CIL 13, 09034 = ILTG 00487 = CAG-02, p 264	Belgica	Juvigny			Augusti/Augustae; miliaria; tituli operum; viri	"[Imp(erator) Caes(ar) M(arcus) Aur(elius) An]/[t]oninus Pius Fe[l(ix)] / [A]u[g(ustus) P]arth(icus) [max(imus)] / [Brit(annicus)] m[ax(imus) pont(ifex)] / [max(imus) tr]i[b(unicia) pot(estate) XVI(?)] / [imp(erator) 3] / [pr]in[c(eps) iuv]en[t(utis)] / [fo]rti[ss]imu[s fe]/[licissimusq(ue) magnus] / prin[c]ep[s p]a[cator] / [o]rbi[s] vias / [et] pont(es) vetust(ate) / conla<p=B>sas res/[ti]tuit / ab Aug(usta Suessionum) l(eugas) [3]
material: lapis"		49.265126	3.191284			
EDCS-12400258	CIL 17-02, 00518 = CIL 13, 09054 = CAG-57-02, p 288 = AE 1983, 00710	Belgica	Le Sablon / Sablon / Divodurum	101	300	miliaria; tituli operum	"] / vias et pon[tes vetus]/tate conl[apsas restituit]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD000629 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD000629	49.1002234	6.1781542			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=pp
EDCS-60100007	RRMAM-02-01, 00505 = RRMAM-03-03, 00068a	Cappadocia	Alisli Burun	222	222	Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) C[a]/esar M(arcus) Au/relius Sever/us Alexande/r Pius Fe[l]ix A/ug(ustus) trib(unicia) po/test(ate) co(n)s(ul) / p(ater) p(atriae) vias et po/ntes vetus/tate conlaps/as restituit // 
material: lapis"		38.690314	34.844085		GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$RRMAM-03-03_00068a.jpg
