EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
													
													
EDCS-08200631	FDelphes-03-04, 00292 = AE 1904, 00161 = AE 2002, 01333 = AE 2008, +01293	Achaia	Delphoi / Delphi	110	110		X K(alendas) Octobres Elatiae de c[o]ntroversia Delphorum adversus Amphissienses [et] / Myanenses de finibus de q[ui]bus Optimus princeps cognoscere me iussit quae au[ditis] / saepius utrisque et peragr[at]is adque inspectis secundum utriusque patris demon[stra/]tionem locis de quibus amb[ig]ebantur item instrumentis ad eam rem pertinentibus [perpen]/sis compereram hoc decret[o c]omplexus sum cum hieromnemonum iudicio [quod] ex auctor[itate Ma]/ni Acili et senatus facto Opt[i]mus princeps stari iusserit et prolata sit apud me determinatio per h[i]/eromnemonas facta qu[ae etia]m Delp(h)is in latere aedis Apollinis incisa est placet secundum eam dete[r]/minationem a Trina[pea quae e]st petra imminens super vallem quam Charadron vocant in qua e[st] / fons Embat[eia usque ad eum f]ontem quod ad Delphos spectat finium Delphorum esse ab eo font[e cum] / [determinatio ad Astrab]anta fines oportere derigi demonstret placet ad eum ter[minum] / [qui in rupe quadam quae Astrab]as v[oca]tur non procul a mari mihi {h} ostensus est in qu[o tripus] / [insculptus est quod insigne esse sa]crae Delphor[u]m regionis videtur fin[ium Delpho]/[rum esse quod ad sinistrum usque ad mare a]d [Delphos verg]ens demonstratu[m est //	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043292 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD043292	38.4811538	22.5005486		GR	
EDCS-16800272	D 09369 = AE 1902, 00161	Aegyptus	Kom el-Giza / Schedia	86	87	ordo equester; tria nomina; viri	Anno VI Im[p(eratoris) Domitiani] / Caesar(is) Aug(usti) Germanic(i) / sub G(aio!) Septimio Vegeto praef(ecto) Aeg(ypti) / fo(n)ditu(s!) est flumen Philagrianu(s) / at tria sol(i)du(s) usque ad petras //	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD032079;de_03dessuoft%23page/cxxvi/mode/2up | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD032079	31.139170	30.192780		GR	
EDCS-31200836	CIL 03, 12070	Aegyptus	Menschiye			mulieres; nomen singulare	Petra / felix						
EDCS-11300895	Kayser 00102 = CBI 00733 = AE 1955, 00238 = AE 1957, 00002 = AE 1969/70, 00633 = AE 1999, +00080 = AE 2012, +01806	Aegyptus	Nicopolis	157	157	Augusti/Augustae; milites; ordo equester; sacerdotes pagani; tituli honorarii; tria nomina; viri	[Imp(eratori) Caesari] / [T(ito) Aeli]o H[adriano] / [Ant]onino Aug(usto) Pio / [p]ontifici maximo / tribun(icia) potest(ate) XX / co(n)s(uli) IIII p(atri) p(atriae) / veterani / leg(ionis) II Traian(ae) Fortis / qui militare coeperunt / Augurino et Sergiano co(n)s(ulibus) stip(endiorum) XXVI / et Hibero et Sisenna co(n)s(ulibus) stip(endiorum) XXV / missi honesta missione sub / M(arco) Sempronio Liberale / praef(ecto) Aegypti et / L(ucio) Iulio Crescente praef(ecto) castror(um) // coh(ors) I / |(centuria) Iuli Crescentis p(rimi) p(ili) / P(ublius) Scantius Saturninus Caesar(ea) / L(ucius) Aemilius Geta Oea / L(ucius) Fannius Fuscus Lepti / T(itus) Flavius Diadumenus Roma / P(ublius) Cattius Faustinus Hadry(meto) / C(aius) Pompullius Eucharistus Abell(a) / M(arcus) Fabius Successus Lepti / C(aius) Antonius Longus Gabala / |(centuria) Mari Quadrati / Ti(berius) Claudius Fidus Blere / |(centuria) Vibi Veri / C(aius) Iulius Severus Carth(agine) / C(aius) Rubrius Saturninus Carth(agine) / |(centuria) Flavi Aviani / L(ucius) Iunius Iustus Lepci / Q(uintus) Pompeius Saturninus Carth(agine) / M(arcus) Aburius Celer Neapoli / T(itus) Flavius Antiochus Roma / |(centuria) Arreni Apollinaris / C(aius) Annius Apollinaris Caesar(ea) / D(ecimus) Iunius Felix Carth(agine) / L(ucius) Aurelius Nepos Sora / C(aius) Crepereius Pudens Thysdr(o) / M(arcus) Caecilius Severus Epifa(nia) / M(arcus) Ulpius Diodorus Lariss(a) / coh(ors) II / |(centuria) Iuli Frontonis / C(aius) Iulius Magnus Anazer(bo) / C(aius) Arellius Maximus Carth(agine) / |(centuria) Antoni Pudentis / C(aius) Antonius Valens Antioc(hia) / C(aius) Luccius Valerian(us) Epifa(nia) // |(centuria) Pomponi Bassi / Q(uintus) Iulius Fabianus Utica / L(ucius) Valerius Primus Carthag(ine) / D(ecimus) Centenius Faustinus Carthag(ine) / |(centuria) Aeli Pharnaciani / L(ucius) Rofillius Agrippinus Cyrro / L(ucius) Salvius Seleucus Apamea / |(centuria) Valeri Aquilae / L(ucius) Farsuleius Felix Carthag(ine) / |(centuria) Tori Victoris / L(ucius) Crepereius Secundus Thamb() / Sex(tus) Maecilius Capito Cirta / M(arcus) Helvius Proculus Carthag(ine) / coh(ors) III / |(centuria) Iuli Repositi / C(aius) Nammeius Peregrinus Uthina / C(aius) Iulius Trebianus Laudic(ea) / C(aius) Ulpius Iovinus Lepci / |(centuria) Claudi Germani / C(aius) Iulius Felix Uthica / Q(uintus) Ennius Marcian(us) Utica / C(aius) Serti(us) Fadius Praesens Iguvio / |(centuria) Atti Aucti / L(ucius) Bellenius Iulianus Pergi / C(aius) Pomponius Saturus Carthag(ine) / C(aius) Flaminius Regulus Sutrio / |(centuria) Palaesi Respecti / C(aius) Licinius Crispinus Bas() / L(ucius) Insteius Felix Thub(u)r(bo) Ma(ius) / C(aius) Terentius Asclepiades Prusia(de) / C(aius) Granius Felix Carthag(ine) / |(centuria) Frontiniana / T(itus) Planius Saturninus Carthag(ine) // C(aius) Munatius Faustu[s 3] / |(centuria) Iuli Marti / Q(uintus) Urbius Felix [3] / C(aius) Iulius Laetus [3] / coh(ors) IIII / |(centuria) Iuli Hannibali / C(aius) Herennius Piso Thy[sdr(o)] / M(arcus) Antistius Felix Utic[a] / |(centuria) Papi Firmi / Q(uintus) Licinius Trachalus Utica / L(ucius) Stabius Tertius Beryt(o) / |(centuria) Titidi Maximi / Q(uintus) Aurelius Nummus Lepci / M(arcus) Volusius Impetrat(us) Assur(ibus) / coh(ors) V / |(centuria) Livi Severi / L(ucius) Iulius Aemilian(us) Lepti / C(aius) Valerius Felix Carth(agine) / |(centuria) Volusi Senecae / M(arcus) Laelius Victor Utica / |(centuria) Iuli Felicis / C(aius) Didius Victor Carth(agine) / P(ublius) Caelius Rogatus Hadr<u=Y>(meto) / T(itus) Flaminius Felix Carth(agine) / |(centuria) Mutili Clementis / Q(uintus) Caelius Secundus Theves(te) / C(aius) Valerius Clementin(us) Cyrro / M(arcus) Scribonius Festus Lepti // [cohors VI] / [|(centuria) 3] / [3]s Lepti / [|(centuria) 3]iani / [3]ius Acutus Hadrym(eto) / [3]ius Censorin(us) Ara / |(centuria) Valeri Optati / [1 F]lavius Geta Lepti / [1] Manilius Probus Cartha(gine) / M(arcus) Valerius Longin(us) Neapoli / [1] Iunius Annian(us) Lepti / |(centuria) Iuni Gemelli / A(ulus) Mucius Aquila Perusio / C(aius) Sallustius Africanus Utica / P(ublius) Antistius Fortunatus Amer(ia) / |(centuria) Sevi Leonis / C(aius) Manlius Macrinus Maxu(la) / L(ucius) Tadius Blandus Carth(agine) / L(ucius) Tadius Vitalis Carth(agine) / |(centuria) Victoriana / C(aius) Bassius Celer Tavio / C(aius) Cincius Perpetuus Ammed(ara) sp(eculator) pr(aefecti) / M(arcus) Pomponius Silvan(us) Thysdr(o) / P(ublius) Agrius Felix Melzi / C(aius) Longinius Valens Caesar(ea) / coh(ors) VII / |(centuria) Aureli Theonis / P(ublius) Quintinianus Verus Pisis / |(centuria) Pompei Siculini / P(ublius) Tullius Martialis T(h)uburb(o) / D(ecimus) Octavius Victor Carth(agine) / |(centuria) Flavi Sereni / L(ucius) Aelius Aquila Thamb() / T(itus) Aemilius Ponticus Ammed(ara) / C(aius) Furfianus Crescens Cuicul [b(ene)f(iciarius) pr(aefecti)] // |(centuria) Vibi Postumi / Sex(tus) Geminius Montan(us) Sebast(e) / |(centuria) Aeli Sabini / L(ucius) Annius Lupus Varvar(ia) [b(ene)f(iciarius) pr(aefecti)] / coh(ors) VIII / |(centuria) Minici Sereni / Ti(berius) Claudius Fructus Roma / L(ucius) Popilius Felix Carth(agine) / L(ucius) Thunnius Fortunat(us) Carth(agine) / |(centuria) Domiti Materni / L(ucius) Trebius Felix Utica / M(arcus) Octavius Victor Utica M(arcus) Didius Secundus Nucer(ia) / T(itus) Helvius Neo Amiso / |(centuria) Tulli Proculi / Q(uintus) Nautius Secundus Carth(agine) / Q(uintus) Lucceius Pudens Brixell(o) / C(aius) Cornelius Victor Carth(agine) / C(aius) Turpilius Celer Carth(agine) / |(centuria) Antoni Aciliani / C(aius) Vibius Titianus Ptoloma(ide) / C(aius) Sempronius Gallus Achola / |(centuria) Iuli Gemellini / C(aius) Graeceius Extricatus Carth(agine) / |(centuria) Ulpi Martini / T(itus) Flavius Maximus Ascalo(ne) / coh(ors) VIII / |(centuria) Agri Maximi / C(aius) Barucius Silvanus Barari / L(ucius) Arruntius Felix Carth(agine) / |(centuria) Aeli Proculi / L(ucius) Magnius Adiutor Thysdr(o) / C(aius) Caecilius Secundus Carth(agine) / |(centuria) Iuli Alexandri / Q(uintus) Iulius Saturnin(us) Antioc(hia) // |(centuria) Sergi Longi / C(aius) Octavius Rogatus Carth(agine) / |(centuria) Semproni Gemini / Q(uintus) Aedinius Gracilis Utica / C(aius) Pompeius Felix Utica / C(aius) Magnius Felix Utica / C(aius) Magnius Felix Utina / coh(ors) X / |(centuria) Octavi Montani / C(aius) Antonius Sallustianus Lepci / A(ulus) Octavius Berytius Beryto / |(centuria) Gerellani Verini / T(itus) Flavius Tertius Nicomed(ia) / |(centuria) Caecili Syriaci / M(arcus) Calpurnius Germanus Gadara / Q(uintus) Caecilius Cerialis Lepti / D(ecimus) Cornelius Victor Carth(agine) / |(centuria) Semproni Dati / L(ucius) Lurius Ianuarius Carth(agine) / M(arcus) Arrius Felix Utica / L(ucius) Aiacius Fortunatus Utica / |(centuria) Antoni Nerei / C(aius) Iulius Gaetulicus Then(is) / M(arcus) Gargilius Felix Carth(agine) / C(aius) Marius Donatus Thysd(ro) / C(aius) Siccius Datus Carth(agine) / Q(uintus) Tannonius Primus Uthin(a) / |(centuria) Corbuloniana / C(aius) Iulius Salvianus Uthica / Q(uintus) Trebellius Felix Carth(agine)	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0020397;HD012418 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD012418 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0020397	31.233348	29.950022			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$CBI_00733_1.jpg;$CBI_00733_2.jpg;$CBI_00733_3.jpg
EDCS-75300001	AE 2016, 00416	Aemilia / Regio VIII	Bologna / Bononia			officium/professio; viri	"[Petraites(?) P]ru[den]s // [3]us Asylus // [Procu]lus(?) Columb(us)
material: aes"		44.4938605	11.3429718			
EDCS-20402411	CIL 11, 00969 = Petavonium 00039 = Questori 00382	Aemilia / Regio VIII	Reggio nell|Emilia / Reggio Emilia / Regium Lepidum	17	19	milites; ordo decurionum; ordo equester; tituli honorarii; tria nomina; viri	]xi[3] / T(ito) Pomponio T(iti) f(ilio) Pol(lia) / Petrae / aedil(i) IIviro praef(ecto) fabr(um) IIII / trib(uno) milit(ium) leg(ionis) X Gemin(ae) / praef(ecto) equitum praef(ecto) / Germanici Caesaris IIviro / quinq(uennali) q(uaestori) d(ecreto) d(ecurionum) / patrono	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N130743 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR130743&partId=1	44.6978446	10.6304958			
EDCS-25700134	CIL 08, 15219	Africa proconsularis	Ain Tounga / Thignica			tituli sepulcrales	D(is) M(anibus) s(acrum) / Clodia In/petrata / pia vix[it		36.5226969	9.3576462			
EDCS-13001427	CIL 08, 05186 = ILAlg-01, 00557	Africa proconsularis	Benzioun / Kef Bezioun / Kudiat el Batum / Hammam Nbail / Zattara			tituli sepulcrales	"D(is) M(anibus) s(acrum) / Valeria Im/petrata / pia v(ixit) a(nnos) / CI
material: lapis"		36.366667	7.533333			
