EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
													
													
EDCS-12401102	CIL 09, 01596 = D 05511 = AE 2013, 00331 = AB p 18	Apulia et Calabria / Regio II	Benevento / Beneventum	401	450	ordo senatorius; tituli honorarii; tituli operum; tituli sacri	"] spect[abili viro] / iustitia [admir]abili castita/te conspic[uo rep]aratori fori pro / magna [parte co]nlapsi in ruin[am] / co[n]di[tori curiae(?)] restitutori ba/silicae [cu]m porticibus sagit/ta[riorum] regionis viae novae / repar[atori] thermarum Co<m=N>modiana/rum re[stitu]tori collegiorum repa/ratori [porti]cus Dianae reparatori / basilicae [L]ongini ac totius prope civi/tatis [post h]ostile incendium condi/tori [ob] insignia eius in omnem pro/[v]in[ciam] pr(a)ecipuaque in se et patriam / [suam m]erita populus Beneven/[tanu]s ad aeternam memoriam / statuam conlocavit
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=S1746;N128690;cil09_p271;de_21dessuoft%23page/378/mode/2up | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR128690&partId=1	41.1295587	14.7824639			
EDCS-03000604	CAG-79, p 270 = AE 1996, 01048	Aquitani(c)a	Perigne / Pictones	236	237		[Imp(erator) Caes(ar) C(aius) Iul(ius) V]erus Maxi[minus] / [Pius Fel(ix) A]ug(ustus) pontifex maxi[mus] / [trib(unicia) pot(estate) I]II co(n)s(ul) proco(n)s(ul) / [p(ater) p(atriae) 3]s et G(aius) Iul(ius) Verus / [Maximus nob(ilissimus) Caes(ar) trib(unicia)] potes(tate) III(!) co(n)s(ul) / [princeps] i(u)vent(utis) vias / [et pontes vetust(ate) conlaps(os) 3]po restituer(unt) / [X]X	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD050246 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD050246	46.1875362	-0.2536718			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$AE_1996_01048.jpg
EDCS-12400055	CIL 17-02, 00326 = CIL 13, 08874 = ILA-Vell 00060 = CAG-43, p 134	Aquitani(c)a	Saint-Paulien / Ruessio / Ruessium	237	237	Augusti/Augustae; miliaria; tituli operum; viri	"[Imp(erator) Caes(ar) C(aius) Iul(ius)] / [Veru]s [Maximinus] / [P(ius) Fel(ix) Aug(ustus) p(ontifex) m(aximus) tr(ibunicia) p(otestate) III] / [co(n)s(ul) procons(ul) p(ater) p(atriae) imp(erator) V et] / [C(aius) Iul(ius) Verus Maximus nob(ilissimus) Ca]es(ar) princeps / [iu]vent(utis) vias et / [po]ntes vetus/[tate] conlapsas / [res]titue[runt
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=G160100700060	45.1358502	3.8131147			
EDCS-12400098	CIL 17-02, 00367 = CIL 13, 08940 = CAG-18, p 251	Aquitani(c)a	Trouy	237	237	Augusti/Augustae; miliaria; tituli operum; viri	"[Imp(erator) Caes(ar) C(aius) Iulius V]erus Maxi/[minus Pius] Felix Aug(ustus) p(ontifex) m(aximus) tr(ibunicia) p(otestate) III / [imp(erator) V co(n)s(ul)] p(ater) p(atriae) Germanicus ma/[xim(us) et C(aius) Iul(ius)] Verus Maximus no/[bilissimus C]aes(ar) princeps / [iuventutis] vias et pontes vetus/[tate conla]psas restituerunt / [Avaric(o) l(eugas)] XVIIII f(inibus) l(eugas) IIII
material: lapis"		47.0088361	2.3565352			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$CIL_13_08940.jpg
EDCS-29100259	CIL 03, 11332 = IPSSTA 00004 = RHP 00203	Barbaricum	Virt / Virtpuszta / Virth	238	244	Augusti/Augustae; miliaria; milites; tituli operum; viri	"Imp(erator) Cae[s(ar)] / [M(arcus) A]nt(onius) [G]or[dianus] / [P(ius) F(elix)] Aug(ustus) p(ontifex) [m(aximus)] tr[ib(unicia) p(otestate) 3] / [p(ater) p(atriae)] co(n)s(ul) pro[co(n)s(ul)] / [via]s vetust[ate con]/[lap]s(as) cum [pontibus] / [rest]ituit per [alam III] / [Thracum] Gordian[am] / a Br[ig(etione)] / m(ilia) p(assuum) V
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0053250;lu_7288;HD074305 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD074305 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053250	47.7537176	18.3215832			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=pp
EDCS-12400252	CIL 17-02, 00513 = CIL 13, 09034 = ILTG 00487 = CAG-02, p 264	Belgica	Juvigny			Augusti/Augustae; miliaria; tituli operum; viri	"[Imp(erator) Caes(ar) M(arcus) Aur(elius) An]/[t]oninus Pius Fe[l(ix)] / [A]u[g(ustus) P]arth(icus) [max(imus)] / [Brit(annicus)] m[ax(imus) pont(ifex)] / [max(imus) tr]i[b(unicia) pot(estate) XVI(?)] / [imp(erator) 3] / [pr]in[c(eps) iuv]en[t(utis)] / [fo]rti[ss]imu[s fe]/[licissimusq(ue) magnus] / prin[c]ep[s p]a[cator] / [o]rbi[s] vias / [et] pont(es) vetust(ate) / conla<p=B>sas res/[ti]tuit / ab Aug(usta Suessionum) l(eugas) [3]
material: lapis"		49.265126	3.191284			
EDCS-12400258	CIL 17-02, 00518 = CIL 13, 09054 = CAG-57-02, p 288 = AE 1983, 00710	Belgica	Le Sablon / Sablon / Divodurum	101	300	miliaria; tituli operum	"] / vias et pon[tes vetus]/tate conl[apsas restituit]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD000629 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD000629	49.1002234	6.1781542			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=pp
EDCS-07901037	RIB-01, 02228	Britannia	Bitterne / Clausentum	101	230		"] / [trib(uniciae)] p[o]t(estatis) XVIII / v[i]as [i]n ru[i]nam / vet[u]sta[te] c[o]n[l]a<p=B>[sas] / VDINIM r[e]sti[tuit]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=R2228;HD071353 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD071353	50.9146991	-1.3603172			
