EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
													
													
EDCS-72700006	Rus-2015, p 38 = AE 2015, 01822 = EpRom 2015_57_048	Africa proconsularis	Baghla, Hr. el / Thugga	237	237	Augusti/Augustae; miliaria; tituli operum; viri	"] / [trib(unicia) p]otes(tate) III imp(erator) V et C(aius) / Iulius Verus Maximinus nob/ilissimus Caes(ar) princeps iuvent(utis) / Germ(anicus) max(imus) Sarmatic(us) max(imus) / Dacicus maximus / viam a Karthagine us/que ad fines Numidiae / provinciae longa incuria / corruptam adque dilap/[sam restituerunt]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=er_6374	36.4768613	9.4168666			
EDCS-25600684	CIL 08, 10047 (p 2092) = D 00488	Africa proconsularis	Baghla, Hr. el, iuxta (2) / Thugga			Augusti/Augustae; litterae in litura; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) «C(aius) Iulius» / «Verus Maximinus Pius» / Felix Aug(ustus) Germ(anicus) max(imus) Sar/mat(icus) max(imus) Dacicus max(imus) pon(tifex) / max(imus) trib(unicia) potest(ate) III imp(erator) VI / «C(aius) Iulius Verus Maximus no»/«bilissimus Caes(ar)» princeps / iuventutis Germ(anicus) max(imus) Sar/mat(icus) max(imus) Dacicus max(imus) / viam a Karthagine us/que ad fines Numidiae / provinciae longa incuria / corruptam adque dilap/sam restituerunt / LXX
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0012062;ra_MI070MS001;de_01dessuoft%23page/118/mode/2up | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0012062	36.4709243	9.4028625			
EDCS-67500051	AE 2012, 01896	Africa proconsularis	Jeddara			Augusti/Augustae; litterae erasae; miliaria; tituli operum; viri	"[[[Imp(erator) Caes(ar) Iulius Verus]]] / [[[Maximinus Pius Felix Aug(ustus)]]] / [[[Germ(anicus) max(imus) Sarm(aticus)]]] / [max(imus) Dacicus max(imus) po]ntifex / [max(imus) trib(unicia) pot(estate)] III imp(erator) V et C(aius) / [Iulius Verus Maxi]mus nobi/[lissimus Caes(ar) prin]ceps iu/[ventutis Germ(anicus)] max(imus) Sar/[m(aticus) max(imus) D]acicus ma/[x(imus) viam a Carth]agine usque / [ad fines Num]idiae provin/[ciae longa inc]uria corrup/[tam atque] dila<p=B>sam / [resti]tuerunt / CIX
material: lapis"		36.181667	8.931667			
EDCS-44200346	BCTH-1907-CCXXI	Africa proconsularis	Oudna, Hr. / Udhnah / Uthina	237	237	Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) C(aius) Iulius Verus Maximinus / Pius Fel(ix) Aug(ustus) Germ(anicus) max(imus) Sarm(aticus) max(imus) / Dac(icus) max(imus) pont(ifex) max(imus) trib(unicia) pot(estate) III / imp(erator) V et C(aius) Iulius Verus Maximus / nobil(lissimus) Caes(ar) / princ(eps) iuventutis / Germ(anicus) max(imus) Sarm(aticus) max(imus) / Dac(icus) max(imus) / viam a Karthag(ine) usque ad fines / Numidiae provinciae longa in/curia corruptam atq(ue) dilap/sam restituerunt / I
material: lapis"		36.60005	10.1820304			
EDCS-69900142	MEFR-1912-222 = ILAfr 00664z5	Africa proconsularis	Sidi Amara, Hr. / el-Khima, Hr. / Khima, Hr. / Agger	237	237	Augusti/Augustae; litterae erasae; miliaria; tituli operum; viri	"[[Imp(erator) Caes(ar) C(aius) Iulius]] / [[Verus Maximinus Pius]] / [[Felix Augustus Germ(anicus)]] [[maximus Sarmaticus]] / [[max(imus) Dacicus max(imus) pont(ifex)]] / [[max(imus) trib(unicia) potest(ate) III imp(erator) VI]] / C(aius) Iulius [Verus Maximus] / n[o]bil[issimus Caesar] / princ(eps) [iuventutis Germ(anicus)] / max[imus Sarmaticus] / maxi[mus Dacicus max(imus)] / [[viam a Karthagine]] / [[usque ad fines Numi]]/[[diae provinciae longa]] / [[incuria corruptam adque]] / [[dilapsam restituerunt]] // CLXV
material: lapis"		35.8626025	9.5156285			
EDCS-25700360	CIL 08, 10083 = CIL 08, 22073 = AE 2015, +01819	Africa proconsularis	Sidi Bou Atila / Sidi Bu Atila / Thugga			Augusti/Augustae; litterae erasae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) [[C(aius)]] / [[Iulius Verus Max]]/[[iminus Pius Felix]] / [[Aug(ustus) Germ(anicus) max(imus)]] / [[Sarmat(icus) [max(imus) Daci]]]/[[[cus max(imus) pontif(ex)]]] / [[[max(imus) trib(unicia) pot(estate) III imp(erator) V et]]] / [[[C(aius) Iulius Verus Maxi]]]/[[mus nobil]]issimus / Caes(ar) princeps iuv/entut(is) Germ(anicus) max(imus) / Sarmat(icus) max(imus) Dacic(us) / max(imus) viam a Karthag(ine) / usque ad fines Numi/diae provinc(iae) longa / incuria corruptam / adq(ue) dilapsam resti/tuerunt / LXXXVI
material: lapis"		36.3764604	9.2075006			
EDCS-28300490	CIL 08, 22123	Africa proconsularis	Sidi Bou Garnoug			Augusti/Augustae; litterae erasae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) / [[[C(aius) Iulius Verus Maximinus]]] / [Pius] Felix Aug(ustus) Germanicus / [maximus Sarmaticus maxim(us)] / Daci[cus max]imus ponti/fex max[imus] trib(unicia) pot(estate) III / imp(erator) V [et] C(aius) Iulius Verus Max(iminus) / nobilissimus Caes(ar) prin/ceps iuventutis Germ(anicus) max(imus) / Sarmaticus max(imus) Dacicus / maximus viam a Kartha/gine usque ad fines Numidiae / provinciae longa in[c]ur[i]a / corruptam atque dila<p=B>sam / restituerunt / CXI
material: lapis"						
EDCS-44400337	BCTH-1908-CLXII = BCTH-1908-CXCII = ILAfr 00664h	Africa proconsularis	Testour / Tastur / Tichilla	237	237	Augusti/Augustae; miliaria; tituli operum; viri	"[Imp(erator)] Caes(ar) C(aius) [Iulius Ve]/rus Maximi[nus Pius] / Felix Aug(ustus) Ge[rman(icus) maxi]/mus Sarmat(icus) [maximus] / Dacicus max(imus) pon[tifex max(imus) tri]/buniciae potest(atis) III imp(erator) [V et] / C(aius) Iulius Verus Maximus [nobilis]/simus Caes(ar) princeps iuventu[tis] / German(icus) max(imus) Sarmat(icus) max(imus) Da[cicus] / maximus / via[m] Kar[th]agine usque ad fine[s] / Numidiae p[rovi]n[c]iae longa in/curia corruptam atque di/lap[sa]m r[estituer]un[t] / LXVI
material: lapis"		36.5520138	9.4418606			
