EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-30000400	CIL 03, 14203,26 = Patras 00028 = AE 1899, 00015	Achaia	Patra / Patras / Patrai / Patrae	164	166		"Imp(erator) Caesa[r] / M(arcus) Aureliu[s] / Antoninu[s] / Aug(ustus) Armeni(a)/cus et Imp(erator) Caes(ar) / L(ucius) Aurelius Verus / Aug(ustus) Armeni(a)cus / viam / corruptam / refici / iusserunt
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0003319;HD033597;1ae1899-04 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD033597 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0003319	38.246242	21.7350847			
EDCS-72700006	Rus-2015, p 38 = AE 2015, 01822 = EpRom 2015_57_048	Africa proconsularis	Baghla, Hr. el / Thugga	237	237	Augusti/Augustae; miliaria; tituli operum; viri	"] / [trib(unicia) p]otes(tate) III imp(erator) V et C(aius) / Iulius Verus Maximinus nob/ilissimus Caes(ar) princeps iuvent(utis) / Germ(anicus) max(imus) Sarmatic(us) max(imus) / Dacicus maximus / viam a Karthagine us/que ad fines Numidiae / provinciae longa incuria / corruptam adque dilap/[sam restituerunt]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=er_6374	36.4768613	9.4168666			
EDCS-25600684	CIL 08, 10047 (p 2092) = D 00488	Africa proconsularis	Baghla, Hr. el, iuxta (2) / Thugga			Augusti/Augustae; litterae in litura; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) «C(aius) Iulius» / «Verus Maximinus Pius» / Felix Aug(ustus) Germ(anicus) max(imus) Sar/mat(icus) max(imus) Dacicus max(imus) pon(tifex) / max(imus) trib(unicia) potest(ate) III imp(erator) VI / «C(aius) Iulius Verus Maximus no»/«bilissimus Caes(ar)» princeps / iuventutis Germ(anicus) max(imus) Sar/mat(icus) max(imus) Dacicus max(imus) / viam a Karthagine us/que ad fines Numidiae / provinciae longa incuria / corruptam adque dilap/sam restituerunt / LXX
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0012062;ra_MI070MS001;de_01dessuoft%23page/118/mode/2up | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0012062	36.4709243	9.4028625			
EDCS-67500051	AE 2012, 01896	Africa proconsularis	Jeddara			Augusti/Augustae; litterae erasae; miliaria; tituli operum; viri	"[[[Imp(erator) Caes(ar) Iulius Verus]]] / [[[Maximinus Pius Felix Aug(ustus)]]] / [[[Germ(anicus) max(imus) Sarm(aticus)]]] / [max(imus) Dacicus max(imus) po]ntifex / [max(imus) trib(unicia) pot(estate)] III imp(erator) V et C(aius) / [Iulius Verus Maxi]mus nobi/[lissimus Caes(ar) prin]ceps iu/[ventutis Germ(anicus)] max(imus) Sar/[m(aticus) max(imus) D]acicus ma/[x(imus) viam a Carth]agine usque / [ad fines Num]idiae provin/[ciae longa inc]uria corrup/[tam atque] dila<p=B>sam / [resti]tuerunt / CIX
material: lapis"		36.181667	8.931667			
EDCS-04000867	ILAlg-01, 02101 = LBIRNA 00727 = AE 1917/18, 00091	Africa proconsularis	M|Daourouch / Mdaourouch / Madauros / Madaurus			ordo senatorius; sacerdotes pagani	"Pro tanta securi[tate temporum] / dd(ominorum) nn(ostrorum) Valentiniani [et Valentis perpetuo]rum Au[gg(ustorum)] / [therm]as aestivas olim splen[did(issimae)] coloni[ae 3]a[3] / [3]tro annis ruinarum labe deformes pa[rietibusque omni]um soli/orum ita corruptis ut gravibus damnis adficerent [nun]c omni idonitate con/structas et cultu splendido decoratas sed et patinas ampliato aeris pondere / omni idonitate firmissimas proconsulatu Publi Ampeli v(iri) c(larissimi) Octavio Privatia/no v(iro) c(larissimo) legato Numidiae C(a)ec(ilius) Pontilius Paulinus f{f}(lamen) p(er)p(etuus) p(atronus) c(oloniae) curat(o)r rei p(ublicae) pecunia / publica perfecit porticum quo[q]ue ingredientibus ab atrio sed et pronaum / eidem coh(a)erentem commeantibus per viam trabibus tignis [3] ceterisque / [3 Pont]ilius Pauli/[nus 3] ordine
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD026505 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD026505	36.0773091	7.8212383			
EDCS-44200346	BCTH-1907-CCXXI	Africa proconsularis	Oudna, Hr. / Udhnah / Uthina	237	237	Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) C(aius) Iulius Verus Maximinus / Pius Fel(ix) Aug(ustus) Germ(anicus) max(imus) Sarm(aticus) max(imus) / Dac(icus) max(imus) pont(ifex) max(imus) trib(unicia) pot(estate) III / imp(erator) V et C(aius) Iulius Verus Maximus / nobil(lissimus) Caes(ar) / princ(eps) iuventutis / Germ(anicus) max(imus) Sarm(aticus) max(imus) / Dac(icus) max(imus) / viam a Karthag(ine) usque ad fines / Numidiae provinciae longa in/curia corruptam atq(ue) dilap/sam restituerunt / I
material: lapis"		36.60005	10.1820304			
EDCS-69900142	MEFR-1912-222 = ILAfr 00664z5	Africa proconsularis	Sidi Amara, Hr. / el-Khima, Hr. / Khima, Hr. / Agger	237	237	Augusti/Augustae; litterae erasae; miliaria; tituli operum; viri	"[[Imp(erator) Caes(ar) C(aius) Iulius]] / [[Verus Maximinus Pius]] / [[Felix Augustus Germ(anicus)]] [[maximus Sarmaticus]] / [[max(imus) Dacicus max(imus) pont(ifex)]] / [[max(imus) trib(unicia) potest(ate) III imp(erator) VI]] / C(aius) Iulius [Verus Maximus] / n[o]bil[issimus Caesar] / princ(eps) [iuventutis Germ(anicus)] / max[imus Sarmaticus] / maxi[mus Dacicus max(imus)] / [[viam a Karthagine]] / [[usque ad fines Numi]]/[[diae provinciae longa]] / [[incuria corruptam adque]] / [[dilapsam restituerunt]] // CLXV
material: lapis"		35.8626025	9.5156285			
EDCS-03000855	AntAfr-1997-134 = LBIRNA 00181 = AE 1996, 01706	Africa proconsularis	Sidi Amor el-Jedidi / Sivalis / Civitas Sivalitana				Pro salute Imp(eratoris) Ca[es(aris)] / T(iti) Aeli Hadr(iani) Anton(ini) Aug(usti) Pi(i) / liberorumque eius / P(ublius) Cornelius Viat(or) et Iust(us) Bithies f(ilius) mag(istratus) civit(atis) Sivalit(anae) aedem sacram Mibilis / Cererum vetustate corruptam ampliav(erunt) / et opere albario cum exedris ex/ornaverun[t d(ecreto) d(ecurionum)] p(ecunia) p(ublica) dedicaverunt	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0094925;HD050470 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD050470 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0094925	36.027331	9.780810			
EDCS-25700360	CIL 08, 10083 = CIL 08, 22073 = AE 2015, +01819	Africa proconsularis	Sidi Bou Atila / Sidi Bu Atila / Thugga			Augusti/Augustae; litterae erasae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) [[C(aius)]] / [[Iulius Verus Max]]/[[iminus Pius Felix]] / [[Aug(ustus) Germ(anicus) max(imus)]] / [[Sarmat(icus) [max(imus) Daci]]]/[[[cus max(imus) pontif(ex)]]] / [[[max(imus) trib(unicia) pot(estate) III imp(erator) V et]]] / [[[C(aius) Iulius Verus Maxi]]]/[[mus nobil]]issimus / Caes(ar) princeps iuv/entut(is) Germ(anicus) max(imus) / Sarmat(icus) max(imus) Dacic(us) / max(imus) viam a Karthag(ine) / usque ad fines Numi/diae provinc(iae) longa / incuria corruptam / adq(ue) dilapsam resti/tuerunt / LXXXVI
material: lapis"		36.3764604	9.2075006			
EDCS-28300490	CIL 08, 22123	Africa proconsularis	Sidi Bou Garnoug			Augusti/Augustae; litterae erasae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) / [[[C(aius) Iulius Verus Maximinus]]] / [Pius] Felix Aug(ustus) Germanicus / [maximus Sarmaticus maxim(us)] / Daci[cus max]imus ponti/fex max[imus] trib(unicia) pot(estate) III / imp(erator) V [et] C(aius) Iulius Verus Max(iminus) / nobilissimus Caes(ar) prin/ceps iuventutis Germ(anicus) max(imus) / Sarmaticus max(imus) Dacicus / maximus viam a Kartha/gine usque ad fines Numidiae / provinciae longa in[c]ur[i]a / corruptam atque dila<p=B>sam / restituerunt / CXI
material: lapis"						
