EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-12100667	"ILSard-01, 00386"	Sardinia	Telti / Olbia	1	300	Augusti/Augustae; miliaria; tituli operum; viri	"p]ontife[x max(imus) trib(unicia)] p(otestate) II p(ater) p(atriae) proco(n)[s(ul) 3 viam] quae adduc[it Kara]libus Olbi(a)e [vetus]tate corrup[tam] restitu[it(?)
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N153992;CO0094496 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0094496 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR153992&partId=1	40.876371	9.352827			
EDCS-10700765	"SupIt-02-V, 00013 = Campedelli 00044 = Questori 00083 = AE 1919, 00064"	Latium et Campania / Regio I	Velletri / Velitrae	31	70	ordo decurionum; tituli operum; tria nomina; viri	L(ucius) Octavius / Onesimus / viam Mactorinam / longa vetustate resciss(am) / pecunia sua restituit / acceptis ab(!) r(e) p(ublica) in[ve]ctui / silicis HS XIIII m(ilibus) n(ummum) ob quo[d] / opus ex d(ecreto) d(ecurionum) honor(em) decur(ionatus) / consecutus est item / L(uci) Octavi L(ucius) Octavianus f(ilius) / Annianus f(ilius) eius gratis inter / decuriones adlecti sunt / quorum alter q(uaestor) aedilit(atem) / [3]IIII[3]PI[	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N072812;HD026772 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD026772 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR072812&partId=1	41.6867015	12.7770433			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$AE_1919_00064.jpg;pp
EDCS-26600085	"CIL 03, 00346 (p 976) = CIG 03743 = IK-09, 00013"	Pontus et Bithynia	Sarikaya	58	59	Augusti/Augustae; miliaria; ordo equester; tituli operum; tria nomina; viri	"[Nero C]laudius divi / [Claudi filius] Germanici Caesaris nepos / [Ti(beri) Caesaris Aug(usti)] pronepos divi Aug(usti) abnepos Caesar / [Augustus Germanicus p]on[t(ifex) max(imus)] trib(unicia) pot(estate) IIII [imp(erator) V] co(n)s(ul) III / [viam Apamea Nicae]a[m collapsa]m vetustate restituit muniendam / curavit [per C(aium) Iulium] Aquilam proc(uratorem) suum // 
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0066464;HD037230 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD037230 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0066464	39.495338	35.37671		GR	
EDCS-22300290	"CIL 11, 03126 (p 1323) = CIL 14, *00409 = D 05374 = Campedelli 00120 = AE 2011, +00371"	Etruria / Regio VII	Civita Castellana / Falerii	76	200		Viam / Augustam / a porta Ci/mina usque / ad Anniam et / viam sacram / a chalcidico / ad lucum Iunon(is) / Curritis vetustate / consumptas a novo / restituerunt ex / HS C m(ilibus) n(ummum) duo Publii / Nigrinii Martialis / pater et Dexter / filius ob honores / et immunitates / omnes in se con/stitutas d(ecreto) d(ecurionum)	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N154688;cil14_fva_p23;de_21dessuoft%23page/357/mode/2up | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR154688&partId=1	42.295226	12.40917			
EDCS-29600388	"CIL 02, 04918 = CIL 17-01, 00250 = MiliariTarrac 00058 = ERZaragoza 00026"	Hispania citerior	"Lucena de Jalon, iuxta"	85	85	Augusti/Augustae; miliaria; viri	"[Imp(erator) Cae]sar / [divi Vespa]siani f(ilius) / [Domitianu]s Aug(ustus) Ger(manicus) / [pont(ifex) max(imus) im]p(erator) VIIII co(n)s(ul) XI / [tribunic(ia) po]testat(e) p(ater) p(atriae) / [vias vetustat]e corr[u]pt[as] / [refecit pon]tes restit(uit) / [ab 3 m(ilia) p(assuum)] CCLXXXIX / [ab 3 m(ilia) p(assuum)] CLXIX / [ab 3 m(ilia) p(assuum)] VII
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=A1684;CO0053187;HD041201 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD041201 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053187	41.549722	-1.321639			
EDCS-29600386	"CIL 17-01, 00215 = MiliariTarrac 00059 = AE 1976, 00299 = HEp 1995, 00287 = ERCantab 00040"	Hispania citerior	Puerto de las Munecas	85	85	Augusti/Augustae; litterae erasae; miliaria; viri	"[Imperator C]aes(ar) divi Vesp(asiani) f(ilius) / [[[Domitianus Au]]]g(ustus) Ger(manicus) / [pont(ifex) ma]x(imus) trib(unicia) potes(tate) I[I]II / [imp(erator) XI p(ater) p(atriae)] co(n)s(ul) XI desig(natus) XII / [cens]oriae potestatis / [vias vetus]tate corruptas / [restituit] pon[t]es refe[cit] / [
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=A6577;HD012033 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD012033	43.2999865	-3.1706137			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$ERCantab_00040.jpg
EDCS-74200419	"REA-1981-255 = CMB-01, 00027"	Baetica	Cordoba / Corduba	90	90	Augusti/Augustae; miliaria; milites; tituli operum; viri	"[Imperator Caesar] / [divi Vespasiani f(ilius) Domitianus Aug(ustus) Germanicus] / p[ontifex maximus] / tr[ibuniciae] potestatis / [VIIII imp(erator) XXI co(n)s(ul) XV] / censor perpetuus / p(ater) p(atriae) ab arcu unde / incipit Baetica / viam Augustam / militarem vetus(t)ate / corruptam restituit LXVIIII
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=A24858	37.8847985	-4.7763748			
EDCS-05600093	"CIL 02, 04724 = CIL 02-07, p 65 n 15 = HEp 1994, 00303 = CMB-02, 00001"	Baetica	Cordoba / Corduba	97	97	Augusti/Augustae; miliaria; viri	"Imp(erator) Nerv[a] Caes(ar) / Aug(ustus) pont(ifex) maxim(us) / trib(unicia) potest(ate) II co(n)s(ul) III / proc(onsul) pat(er) patriae [viam vetustate(?)] / cor[ruptam(?)] restituit
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=A1673;CO0018486 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0018486	37.8847985	-4.7763748			
EDCS-05600094	"CIL 02, 04725 = CIL 02-07, p 65 n 13 = CMB-02, 00004"	Baetica	Cordoba / Corduba	98	98	Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) Nerva div[i] Ner/vae f(ilius) Traianus Cae/sar Aug(ustus) Germanicus / pontif(ex) max(imus) tribunic(ia) / potest(ate) II co(n)s(ul) II p(ater) p(atriae) / vias vetustate corrup/tas refecit et restituit
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=A1674;CO0018482 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0018482	37.8847985	-4.7763748			
EDCS-21700300	"CIL 02, 04733 = CIL 02-07, p 66 = HEp 1994, 00298 = CMB-02, 00003"	Baetica	Cordoba / Corduba	98	98	Augusti/Augustae; miliaria; viri	"[Imp(erator) Nerva divi Ner/vae f(ilius) Traianus] Caesar / Aug(ustus) Germanic(us) pontif(ex) / max(imus) tribunic(ia) potest(ate) II / co(n)s(ul) II [p(ater) p(atriae)] vias vetustate / co[rrup]tas refecit / [
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=A1682;CO0018501 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0018501	37.8847985	-4.7763748			
