EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-49100330	IRT 00315 = LeptisMagna 00070 = AE 2010, 01782	Africa proconsularis	Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis	305	306	inscriptiones christianae	"[Felic]issim[is temporibus dddd(ominorum) nnnn(ostrorum) Impp(eratorum) Constanti et Maximiani Augg(ustorum) et] / [Sev]eri et [Maximini nobb(ilissimorum)] Caess(arum) thermae Sa[3 ob lo]ngam admo/[dum incuriam et ve]tustatem ad solum dedu[ctae 3]m vener[3] / [3] provisione et eximio prae[cepto 3 ad pris]tinum sta/[tum 3]a renova[ta]e sun[t 3]ordio / [3 curante(?)] Anton[io 3]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=IRT315.html;HD067598 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD067598 | https://www.trismegistos.org/text/315	32.652183	14.268010			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$LeptisMagna_00070_1.jpg;$LeptisMagna_00070_2.jpg;pp
EDCS-08600651	LBIRNA 00735 = ZPE-43-90 = AE 1982, 00943 = AE 2003, +01889	Africa proconsularis	Annaba / Bone / Hippone, Ruines d| / Hippo Regius	364	367		Beatissimo s(a)eculo dd(ominorum) nn(ostrorum) Valentiniani et V[alentis] / Invictiss[i]morum clementissimorumq(ue) principum / [3] polleni atqu(e) praeclara sunt macelli ma/[3 se]riem(?) longa incuria ac discissione [3] / [3]am non[3] / [3]iam rei p(ublicae) [3] / [3]o procons[ule 3] / [3]NVSTA[3]	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD000453 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD000453	36.8982165	7.7549272			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$AE_1982_00943.jpg
EDCS-72700006	Rus-2015, p 38 = AE 2015, 01822 = EpRom 2015_57_048	Africa proconsularis	Baghla, Hr. el / Thugga	237	237	Augusti/Augustae; miliaria; tituli operum; viri	"] / [trib(unicia) p]otes(tate) III imp(erator) V et C(aius) / Iulius Verus Maximinus nob/ilissimus Caes(ar) princeps iuvent(utis) / Germ(anicus) max(imus) Sarmatic(us) max(imus) / Dacicus maximus / viam a Karthagine us/que ad fines Numidiae / provinciae longa incuria / corruptam adque dilap/[sam restituerunt]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=er_6374	36.4768613	9.4168666			
EDCS-25600684	CIL 08, 10047 (p 2092) = D 00488	Africa proconsularis	Baghla, Hr. el, iuxta (2) / Thugga			Augusti/Augustae; litterae in litura; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) «C(aius) Iulius» / «Verus Maximinus Pius» / Felix Aug(ustus) Germ(anicus) max(imus) Sar/mat(icus) max(imus) Dacicus max(imus) pon(tifex) / max(imus) trib(unicia) potest(ate) III imp(erator) VI / «C(aius) Iulius Verus Maximus no»/«bilissimus Caes(ar)» princeps / iuventutis Germ(anicus) max(imus) Sar/mat(icus) max(imus) Dacicus max(imus) / viam a Karthagine us/que ad fines Numidiae / provinciae longa incuria / corruptam adque dilap/sam restituerunt / LXX
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0012062;ra_MI070MS001;de_01dessuoft%23page/118/mode/2up | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0012062	36.4709243	9.4028625			
EDCS-04001804	ILAlg-01, 03989 = AE 1909, 00233	Africa proconsularis	Derirat			Augusti/Augustae; miliaria; tituli operum; viri	"] pontes ve[tustate di]/lapsos et iter l[onga in]/curia corrup[tum resti]/tuerunt et pro [s]ua [inf]a/tigabili provide[ntia] / [pe]rvium commea[ntibus] / reddiderunt
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD020237 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD020237					
EDCS-25600718	CIL 08, 10021 (p 2081) = ILAPr 00654 = ILTun 01721	Africa proconsularis	Fum Es Somma			Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) C(aius) Iuliu/s Verus Maximi/nus Pius Felix A/ug(ustus) Germanicus / maximus / Sarm/aticus maximus / Dacicus maximus / pontifex maximus / tribunicia potes/tate III imperator V / et C(aius) Iulius Verus / Maximus nobilissim/us Caesar princeps / iuventutis Germ/anicus maximus Sar/maticus maximus / Dacicus maxi[mus] / [pontes vet]ust[ate con]/[lapsos et iter longa] / [incuria perditum restitue]/[runt et pro sua] / [infatig]abil[i providen]/[tia per]vium com[me]/antibus redd(id)erunt / ab T() / XXXXVII / miliarium
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0037725 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0037725					
EDCS-16600423	AE 1905, 00179	Africa proconsularis	Gafsa / Gabs / Fedjedj / Capsa			Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) C(aius) Iulius / [Veru]s [M]aximinus / [Pius Felix] Aug(ustus) Ger[m]/anicus Maximus [Sar]/[m]a[t]icus maxi[mus] / [Dac]icus maxim[us] / [ponti]fex maxim[u]/[s] tribuniciae pot/[e]statis ter(ties) impera/t[o]r [quin]qu[i]es / [et] C(aius) [Iul]ius Verus / [M]a[ximu]s nobilissi/mus Caesar prince/[p]s iuventutis Germ/[ani]cus maximus / [Sarma]ticus maxi/[mus D]acicus maxi[m]/[us] pontes vetust/[ate d]ila<p=B>sos et iter / [lon]ga incur[ia] pra[e]/[ruptum // ] a Tacap]<i=A>as m(ilia) p(assuum) / [XX]XX / [mili]ariu[m]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD030540 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD030540	34.4224429	8.7843647			
EDCS-44400351	BCTH-1908-CCV = ILAfr 00661c = AE 2007, 01713	Africa proconsularis	Hajeb el Ayoun / Hadjeb el Aioun / Sidi Abdelkader / Masclianae	237	237	Augusti/Augustae; litterae erasae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) C(aius) Iul(ius) Verus / [[Maximinus]] Pius Felix / Aug(ustus) Germ(anicus) max(imus) Sarm(aticus) max(imus) / Dac(icus) max(imus) trib(unicia) potes(tate) III imp(erator) V / et C(aius) Iul(ius) Verus Max(imus) nobilissimus / Caes(ar) princeps iuventu/tis Germ(anicus) max(imus) Sarm(aticus) / max(imus) Dac(icus) max(imus) / pontes vetus{s}tate dilapsos / et iter longa incuria / corruptum restitu/erunt et pro sua infa/tigabili providen/tia pervium comme/antibus reddide/runt / [XXX]
material: lapis"		35.395434	9.5424162			
EDCS-67500051	AE 2012, 01896	Africa proconsularis	Jeddara			Augusti/Augustae; litterae erasae; miliaria; tituli operum; viri	"[[[Imp(erator) Caes(ar) Iulius Verus]]] / [[[Maximinus Pius Felix Aug(ustus)]]] / [[[Germ(anicus) max(imus) Sarm(aticus)]]] / [max(imus) Dacicus max(imus) po]ntifex / [max(imus) trib(unicia) pot(estate)] III imp(erator) V et C(aius) / [Iulius Verus Maxi]mus nobi/[lissimus Caes(ar) prin]ceps iu/[ventutis Germ(anicus)] max(imus) Sar/[m(aticus) max(imus) D]acicus ma/[x(imus) viam a Carth]agine usque / [ad fines Num]idiae provin/[ciae longa inc]uria corrup/[tam atque] dila<p=B>sam / [resti]tuerunt / CIX
material: lapis"		36.181667	8.931667			
EDCS-30400030	AE 2002, 01663 = AfrRom-14-03-1704	Africa proconsularis	Lamta / Lamtah / Lemta / Dhahret Slama / Soukine / Sokrine, Hr. / Lepcis Minor	237	237	Augusti/Augustae; litterae erasae; miliaria; tituli operum; viri	"[[Imp(erator) Caes(ar) C(aius) [Iul]ius Verus]] / [[Maximinus Pius Felix]] / [[Aug(ustus) Germ(anicus) max(imus) Sarm(aticus) max(imus)]] / [[Dac(icus) max(imus) pontifex max(imus) tri]]/[[[b(unicia) pot(estate) III] imp(erator) V [et]]] / [[[ C(aius) Iulius Verus Ma]ximus]] / [[[nobilissimus Caes(ar) prince]ps]] / [[[iuventutis // Imp(erator) Caes(ar) C(aius) Iulius Verus / Maximinus Pius Felix Aug(ustus) / Germ(anicus) max(imus) Sarm(aticus) max(imus) Dac(icus) max(imus) pont(ifex) / max(imus) trib(unicia) pot(estate) I[I]I imp(erator) V et [C(aius) I]ulius Verus Maximus no/bilissimus Caes(ar) princeps / iuventuti[s] G[e]rm(anicus) [max(imus) Sarm(aticus)] / max(imus) Dac(icus) max(imus) [pontes vetus]/tate dilap[sos et iter lon]/ga [incuria praeruptum] / r[estituerunt et pro sua] / infatigabili provident/tia pervium commenanti/bus reddiderunt [
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0095369;HD046456 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD046456 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0095369	35.6753306	10.8809373			
EDCS-44200346	BCTH-1907-CCXXI	Africa proconsularis	Oudna, Hr. / Udhnah / Uthina	237	237	Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) C(aius) Iulius Verus Maximinus / Pius Fel(ix) Aug(ustus) Germ(anicus) max(imus) Sarm(aticus) max(imus) / Dac(icus) max(imus) pont(ifex) max(imus) trib(unicia) pot(estate) III / imp(erator) V et C(aius) Iulius Verus Maximus / nobil(lissimus) Caes(ar) / princ(eps) iuventutis / Germ(anicus) max(imus) Sarm(aticus) max(imus) / Dac(icus) max(imus) / viam a Karthag(ine) usque ad fines / Numidiae provinciae longa in/curia corruptam atq(ue) dilap/sam restituerunt / I
material: lapis"		36.60005	10.1820304			
EDCS-25600662	CIL 08, 10025 = CIL 08, 21920 = ILAPr 00654	Africa proconsularis	Saqy, Hr. as	237	237	Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) [C(aius) Iulius] / Verus [Maximin]/us Pius [Felix Aug(ustus)] / Germa[nicus m]/aximus Sa[rmat]/icus maxi[mus] / Dacicus m[axim]/us pontif[ex max]/imus [tribunicia] / potes[tate III im]/per[ator V] / et C(aius) Iulius Verus / Maxi[mus nobili]ssim[us] [Caesar] pr/inceps iuve[ntutis] / Germanicus [ma]/ximus Sar[matic]/us maximus [Daci]/cus max[imus po]/ntes vetustat[e con]/la<p=B>sos et [iter long]/a incuria [perdi]/tum re[stituerunt] / et pro [sua infa]/[tig]abili [provident]/ia pervium [com]me/antibus redderunt / a Tacapa(s) / XXX
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0037729 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0037729	34.1167	8.8333			
EDCS-30100110	AE 2003, 01972	Africa proconsularis	Sbiba / Sabibah / Sufes	237	237	litterae erasae	Imp(erator) Caes(ar) / [[C(aius) Iulius Verus Ma]]ximi/[[nus]] Pius Felix Aug(ustus) Ger(manicus) / [ma]x(imus) Sarma(ticus) max(imus) Dac(icus) / [ma]x(imus) pontifex max(imus) trib(unicia) / [p]ot(estate) III imp(erator) V et [[C(aius) Iulius]] / Verus [Maxi]mus no/b(i)/lissimus Caes(ar) princeps / iuventutis Germa(nicus) max(imus) / Sarma(ticus) max(imus) Dac(icus) max(imus) / pontes vetustate conla<p=B>/sos et iter longa incuria / corruptum restituerunt / et pro sua infatigabili (p)ro/videntia pervium com/meantibus reddide/runt // IIVX	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD045313 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD045313	35.5442284	9.06951312			
EDCS-69900142	MEFR-1912-222 = ILAfr 00664z5	Africa proconsularis	Sidi Amara, Hr. / el-Khima, Hr. / Khima, Hr. / Agger	237	237	Augusti/Augustae; litterae erasae; miliaria; tituli operum; viri	"[[Imp(erator) Caes(ar) C(aius) Iulius]] / [[Verus Maximinus Pius]] / [[Felix Augustus Germ(anicus)]] [[maximus Sarmaticus]] / [[max(imus) Dacicus max(imus) pont(ifex)]] / [[max(imus) trib(unicia) potest(ate) III imp(erator) VI]] / C(aius) Iulius [Verus Maximus] / n[o]bil[issimus Caesar] / princ(eps) [iuventutis Germ(anicus)] / max[imus Sarmaticus] / maxi[mus Dacicus max(imus)] / [[viam a Karthagine]] / [[usque ad fines Numi]]/[[diae provinciae longa]] / [[incuria corruptam adque]] / [[dilapsam restituerunt]] // CLXV
material: lapis"		35.8626025	9.5156285			
EDCS-25700360	CIL 08, 10083 = CIL 08, 22073 = AE 2015, +01819	Africa proconsularis	Sidi Bou Atila / Sidi Bu Atila / Thugga			Augusti/Augustae; litterae erasae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) [[C(aius)]] / [[Iulius Verus Max]]/[[iminus Pius Felix]] / [[Aug(ustus) Germ(anicus) max(imus)]] / [[Sarmat(icus) [max(imus) Daci]]]/[[[cus max(imus) pontif(ex)]]] / [[[max(imus) trib(unicia) pot(estate) III imp(erator) V et]]] / [[[C(aius) Iulius Verus Maxi]]]/[[mus nobil]]issimus / Caes(ar) princeps iuv/entut(is) Germ(anicus) max(imus) / Sarmat(icus) max(imus) Dacic(us) / max(imus) viam a Karthag(ine) / usque ad fines Numi/diae provinc(iae) longa / incuria corruptam / adq(ue) dilapsam resti/tuerunt / LXXXVI
material: lapis"		36.3764604	9.2075006			
EDCS-28300490	CIL 08, 22123	Africa proconsularis	Sidi Bou Garnoug			Augusti/Augustae; litterae erasae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) / [[[C(aius) Iulius Verus Maximinus]]] / [Pius] Felix Aug(ustus) Germanicus / [maximus Sarmaticus maxim(us)] / Daci[cus max]imus ponti/fex max[imus] trib(unicia) pot(estate) III / imp(erator) V [et] C(aius) Iulius Verus Max(iminus) / nobilissimus Caes(ar) prin/ceps iuventutis Germ(anicus) max(imus) / Sarmaticus max(imus) Dacicus / maximus viam a Kartha/gine usque ad fines Numidiae / provinciae longa in[c]ur[i]a / corruptam atque dila<p=B>sam / restituerunt / CXI
material: lapis"						
EDCS-25700340	CIL 08, 10063 = CIL 08, 22016 = ILTun 01732	Africa proconsularis	Sidi Median, Hr. / Vallis			miliaria; tituli operum	"Nu]/mi[diae provinci]/ae lon[ga incu]ria [cor]/ruptam [ad]que d[ilap]/sam restitue[runt] / XLVII
material: lapis"		36.613435	9.734207			
EDCS-75300369	AE 2016, 01929	Africa proconsularis	Sidi Mohamed ben Khelifa	236	237	Augusti/Augustae; litterae erasae; tituli operum; viri	"Imp(erator) Ca[es(ar)] / [[C(aius) Iulius [Verus Maximinus]]] / [[Pius Felix [Aug(ustus) Germanicus maxi]]]]/[[m[u]s [Sarmaticus maximus]]] / [[[Dacicus max[imus pont(ifex) max(imus)]]] / [[[trib(unicia) pot(estate) III imp(erator) V et]]] / C(aius) Iul[ius Ve]rus Maxi[mus] / [no]bili[ssimus Caes(ar)] pr[incep]/s [iu]ve[ntutis Germanicus maximus] / [Sarmaticus maximus Dacicus maximus] / pontes vetustate conlapsos et iter] / [longa incuria corruptum restituerunt et pro sua] / [infatigabili providentia pervium commeantibus reddiderunt] / [CLVII(?)]
material: lapis"						
EDCS-25600663	CIL 08, 10026 = CIL 08, 21980 = AE 2014, +01455	Africa proconsularis	Sousse / Hadrumetum	216	217	miliaria; ordo decurionum; ordo equester; tituli operum; tria nomina; viri	"Imp(erator) Caes(ar) M(arcus) Aurell[ius Antoninus Pius Felix Aug(ustus) Par]/thic(us) max(imus) Britannic(us) [max(imus) Germanicus maximus] / tribuniciae potest(atis) XX co(n)[s(ul) IIII p(ater) p(atriae)] / prod[3] providentia [3]/crae consulens vias longa [incuria cor]up/tas S[3] principii[3] / NIEI[3]OS / DAM[3]OPVI[3]AESI[3]T / quam [3] maximus proco(n)s(ul) IIv(ir) C[3]avit / [3] ductori musis
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0037730;HD030898 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD030898 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0037730	35.828829	10.640525			
EDCS-44400337	BCTH-1908-CLXII = BCTH-1908-CXCII = ILAfr 00664h	Africa proconsularis	Testour / Tastur / Tichilla	237	237	Augusti/Augustae; miliaria; tituli operum; viri	"[Imp(erator)] Caes(ar) C(aius) [Iulius Ve]/rus Maximi[nus Pius] / Felix Aug(ustus) Ge[rman(icus) maxi]/mus Sarmat(icus) [maximus] / Dacicus max(imus) pon[tifex max(imus) tri]/buniciae potest(atis) III imp(erator) [V et] / C(aius) Iulius Verus Maximus [nobilis]/simus Caes(ar) princeps iuventu[tis] / German(icus) max(imus) Sarmat(icus) max(imus) Da[cicus] / maximus / via[m] Kar[th]agine usque ad fine[s] / Numidiae p[rovi]n[c]iae longa in/curia corruptam atque di/lap[sa]m r[estituer]un[t] / LXVI
material: lapis"		36.5520138	9.4418606			
EDCS-27600115	CIL 08, 22020 = ILTun 01732	Africa proconsularis	Zezia			Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) [C(aius) Iulius Ve]/rus Maximin[us Pius] / Fel(ix) Aug(ustus) G[erm(anicus) max(imus) Sar]/maticus max[imus] / Dac{c}icus [maximus] / pont(ifex) max[imus trib(unicia)] / potest(ate) III [imp(erator) V] / et C(aius) Iulius [Verus] / Maximus [nobilissi]/mus Caes(ar) p[rinceps] / iuventutis G[erm(anicus) ma]/x(imus) Sarmat(icus) [max(imus) Da]/c{c}icus max(imus) [viam a] / Karthagine [usque ad] / fines Numid[iae] / provinciae [longa] / incuria co[rrupta]/m adque [dilap]/sam restitu[e]/runt / LX
material: lapis"		36.746389	8.349167			
EDCS-09401223	Syria-1916-163 = AE 1974, 00661 = AE 1977, 00836 = AE 1994, 01795 = AE 2001, 01974	Arabia	Qasr Azraq / Basienis	333	333	Augusti/Augustae; tituli honorarii; tituli operum; tria nomina; viri	[Salvo d(omino) n(ostro)] Constantino maxi/[mo victo]re ac triumfatore se/[mp(er) Aug(usto) e]t Constantino et / [Consta]ntio nn(o)bb(ilissimis) Caess(aribus) / [longa in]curia vetustate / [statione]m ruina conlapsam / [refeci i]ussit Fl(avius) Severinus / [	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD020878 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD020878	31.8801761	36.8272558			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$AE_1974_00661.jpg;$AE_1974_00661_1.jpg
EDCS-70100001	Syria-2016-162 = AE 2016, 01791	Arabia	Qasr Azraq / Basienis	333	333	Augusti/Augustae; milites; ordo equester; tituli honorarii; tituli operum; tria nomina; viri	"Salvo d(omino) n(ostro) Con[stantino maximo victore] / ac triumfator[e semp(er) Aug(usto) et Constantino] / et Constantio [nobb(ilissimis) Caess(aribus) multo] / [an]te tempore [longa incur]ia vetus/[tate stationem] ruina conlapsam et / [suum praesid]ium (a)edificare iussit / [Fl(avius) Severin]us v(ir) p(erfectissimus) dux Orienti[s cur]ante V[in]/[centio pr]otec(tore) Divinum laterum / [anno Dalm]ati et Zenofili vv(irorum) c(larissimorum) c(onsulum)
material: lapis"		31.8801761	36.8272558			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$Syria-2016-162.jpg
