EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-21300690	CIL 11, 08103 = D 09371 = AE 1903, 00164 = AE 1904, +00088	Aemilia / Regio VIII	Bologna / Bononia	-2	-1	Augusti/Augustae; tituli operum; viri	Imp(erator) Caesar Augustus / pontifex maximus co(n)s(ul) / XIII tribunicia potestate XXII / viam Aemiliam ab Arimino / ad flumen Trebiam / muniendam curavit / LXXIX	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N071941;CO0021852;CO0106071;HD031200;de_03dessuoft%23page/cxxvii/mode/2up;1ae1903-40;1ae1904-21 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD031200 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0021852 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR071941&partId=1	44.4938605	11.3429718			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_11_08103_1.jpg;$CIL_11_08103_2.jpg;pp
EDCS-20401526	Epigraphica-2000-285 = AE 2000, 00584	Aemilia / Regio VIII	Noceto	-5	-1	Augusti/Augustae; miliaria; tituli operum; viri	"[Imp(erator) Caesar Augustus] / [pontifex maximus co(n)s(ul)] / [XIII tr]ibunic(ia) pot[estate XXII] / [viam A]emiliam ab [Arimino] / [ad fl]umen Tr[ebiam] / [muniend]am [curavit] / [3]I
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N082105 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR082105&partId=1	44.8099007	10.1772596			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_2000_00584.jpg;pp
EDCS-29601391	ERimini 00016	Aemilia / Regio VIII	Rimini / Ariminum				Imp(erator) Caesar Augustus / pontifex maximus [co(n)s(ul)] / XIII tribunic(ia) potestate [X]XI[I] / viam Aemiliam ab Arimino / ad flumen Trebiam / muniendam curavit / VII		44.0593886	12.5684371			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ERimini_00016.jpg
EDCS-13600204	Epigraphica-1950-132 = AE 1952, 00056 = AE 1957, 00215	Aemilia / Regio VIII	San Mauro Pascoli / Ariminum	-2	-1	Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) Caesar Augustus / pontifex maximus co(n)s(ul) / XIII tribunicia potestate XXII / viam Aemiliam ab Arimino / ad flumen Trebiam / muniendam curavit / VII
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N074141;CO0100471;HD017390 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD017390 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0100471 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR074141&partId=1	44.1064626	12.4148977			
EDCS-06000322	IRT 00324 = AfrIt-1940/41-18 = LBIRNA 00012 = LBIRNA 00013 = LBIRNA 00014 = AE 1948, 00007 = AE 1948, 00008 = AE 1951, +00085 = AE 1993, 01707 = AE 2003, +00159	Africa proconsularis	Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis	11	12	Augusti/Augustae; nomen singulare; sacerdotes pagani; tituli operum; tituli sacri; viri	"Numini Imp(eratoris) Caesaris divi f(ilii) Aug(usti) pont(ificis) m[ax(imi) imp(eratoris) XX co(n)s(ulis) XII]I tr(ibunicia) pot(estate) XXXIIII c(h)alc{h}idicum et porticus et / porta et via ab XVvir(is) sac(rorum) [3 dedica]ta est // Iddibal Himilis f(ilius) Caphada Aemilius d(e) s(ua) p(ecunia) f(aciendum) c(uravit) c(h)alc{h}idicum et porticus et portam et viam // Iddibal Himilis f(ilius) Caphada Aemilius d(e) s(ua) p(ecunia) f(aciendum) c(uravit) c(h)alc{h}idicum et porticus et porta(m) et via(m)
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=IRT324.html;CO0001945;HD019680;CO0082957 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD019680 | https://www.trismegistos.org/text/324 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0001945	32.652183	14.268010			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IRT_00324.jpg;pp
EDCS-06000328	IRT 00330 = LBIRNA 00023 = LBIRNA 00024 = AE 1948, 00001 = AE 1951, +00084 = AE 2007, +01693 = AE 2014, +01483	Africa proconsularis	Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis	35	36	tituli sacri	"Ti(berio) Caesari divi Aug(usti) f(ilio) Augusto divi Iuli n(epoti) pont(ifici) max(imo) co(n)[s(uli) V] / imp(eratori) VIII trib(unicia) potest(ate) XXXVII / C(aius) Rubellius Blandus q(uaestor) divi Aug(usti) tr(ibunus) pl(ebis) pr(aetor) co(n)s(ul) proco(n)s(ul) pont(ifex) patr[onus] / ex reditibus agrorum quos Le[pc]itanis resti[tui]t vi[a]s om[nis] / civitatis Lepcitanae ster[nend]as silic[e curavit] / M(arcus) Etr[i]liu[s L]upercus leg(atus) pro [p]r(aetore) patronus sub h[asta f(aciendum) l(ocavit)] // [T]i(berio) Caesari divi Aug(usti) f(ilio) Augusto [div]i Iuli n(epoti) pont(ifici) max(imo) co(n)s(uli) V / imp(eratori) VIII trib(unicia) potest(ate) XXXVII / [C(aius) Rub]el[l]ius Blandus q(uaestor) divi Aug(usti) tr(ibunus) pl(ebis) [p]r(aetor) co(n)s(ul) proco(n)s(ul) pont(ifex) patronus / [ex reditib]us [a]grorum quos Lepcitanis rest[i]tuit vias omnis / [ci]vitatis Lep[citanae] s[te]rnendas silic[e curavit] / M(arcus) Etr[il]ius Luperc[us le]g(atus) pro pr(aetore) patronus sub h[asta f(aciendum) l(ocavit)]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=IRT330.html;CO0047623;HD019659 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD019659 | https://www.trismegistos.org/text/330 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0047623	32.652183	14.268010			
EDCS-06000329	IRT 00331 = LBIRNA 00025 = AE 2014, +01483	Africa proconsularis	Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis	35	36	tituli sacri	"[Ti(berio) Caes]ari divi Aug(usti) f(ilio) Augusto divi Iuli n(epoti) pont(ifici) max(imo) co(n)s(uli) V imp(eratori) VIII / trib(unicia) potest(ate) XXXVII / C(aius) Rubellius Blandus q(uaestor) divi Aug(usti) tr(ibunus) pl(ebis) pr(aetor) co(n)s(ul) proco(n)s(ul) pont(ifex) patronus / ex r[e]ditibus agrorum quos Lepcitanis restituit vias omnis civitatis Lepcitanae ster/nendas silice curavit / M(arcus) Etrilius Lupercus leg(atus) pro pr(aetore) patronus sub hasta f(aciendum) l(ocavit)
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=IRT331.html;CO0047624;HD059272 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD059272 | https://www.trismegistos.org/text/331 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0047624	32.652183	14.268010			
EDCS-16600421	AE 1905, 00177 = AE 2006, 01670	Africa proconsularis	Gafsa / Gabs / Fedjedj / Capsa				Imp(erator) Caesar Augu[s]/ti f(ilius) Augustus trib(unicia) pot(estate) XVI / L(ucius) Asprenas co(n)s(ul) / proco(n)s(ul) VIIvir / epulonum viam / ex castris hibernis / Taca[pe]s munien/[dam] curavit leg(io) III Aug(usta) / CLIIII	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0053314;HD030534;1ae1905-45 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD030534 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053314	34.4224429	8.7843647			
EDCS-25600715	CIL 08, 10018 (p 977, 2081)	Africa proconsularis	Gafsa / Gabs / Fedjedj / Capsa	14	15	Augusti/Augustae; miliaria; milites; ordo senatorius; sacerdotes pagani; tituli operum; tria nomina; viri	"Imp(erator) Caes(ar) [Augus]/ti [f(ilius)] Aug[ustus trib(unicia)] / pot(estate) [XVI] / L(ucius) A[s]pren[as co(n)s(ul)] / proco(n)s(ul) VIIvir / epulon[um viam] / ex cas[tr(is) hiber]/nis Tac[apes muni]/endam [curavit] / leg(io) III [Aug(usta)] / C[L]X[
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0037722;HD023997 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD023997 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0037722	34.4224429	8.7843647			
EDCS-25600720	CIL 08, 10023 = CIL 08, 21915 = D 00151 (p 170)	Africa proconsularis	Saqy, Hr. as	14	15	Augusti/Augustae; miliaria; milites; tituli operum; viri	"Imp(erator) Caes(ar) Augus/ti f(ilius) Augustus tri(bunicia) / pot(estate) XVI / Asprenas co(n)s(ul) pr(o)/co(n)s(ul) VIIvir epul[o]/num viam ex cast(ris) / hibernis Tacapes / muniendam curavit / leg(io) III Aug(usta) / CI[
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0037727;HD023994;de_01dessuoft%23page/40/mode/2up | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD023994 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0037727	34.1167	8.8333			
