EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-24300007	IG-12-05, p 191 = SIRIS 00155 = ILGR 00034 = RICIS-01, 00202/0701	Achaia	Siros, Nisos	101	200		Claudius Secundus viator / tribunicius / templum Isidis cum omni ornatu / sua pecunia // fecit	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057693 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD057693	37.4385101	24.9123772			
EDCS-09300906	Epigraphica-1977-31 = AnalEpi p 88 = AE 1977, 00265 = AE 2006, +00442	Aemilia / Regio VIII	Ravenna	171	230	milites; tria nomina; viri	] / fabr[i] / Cocceius Vi[3] / Luccei(us) One[3] / Virius Mo[3] / Septim(ius) Prisc[us] / Aurelius E[3] / fabri / Bruttius Fruct(us) / Varron(ius) Afrodi(sius?) / Aufidius Genial(is) / Dasimius Saturn(inus) / Iulius Demetriu(s) / Papirius Magnus / Aelius Fortuniu(s) / Fonteius Maxim(us) / Brutt(ius) Romanu(s) / Turran(ius) Vitalis / Aufidius Felix / Iulius Demetri(us) / Sempron(ius) Secund(us) / Sempron(ius) Victor / Tertius Tryfon / Maeciu(s) Victor / Servili(us) Agapomen(us) / Aurel(ius) Felicissim(us) / Calestri(us) Valenti(nus) / Roscius Marcellu(s) / Licinius Maximus / Bononi(us) Mercuril(is) / Barbius Agathop(us) / Aufidius Felix / Fabius Sabinian(us) / Aufidi(us) Successus / it(em?) ple<b=V>ei / Gabell() Priscianus / Petiliu(s) Phoebus / Titius Dionysius / Avidius Helico // ]OL[3] / Lucce(ius) Niceta / Aureliu(s) Carp() / Aurel(ius) Candidi(anus) / Postum(ius) Agripp(a) / Aeli(us) Numisius / Viriu(s) Fortunat(us) / Lucceiu(s) Primus / Iulius Primus / Lucc(eius) He(r)monic(us) / Coccei(us) Aristo / Sempro(nius) Iustin(us) / Public(ius) Hilaru(s) / Iuli(us) Decemb(er) / Avidius Helic(o) / Barbiu(s) Quintilian(us) / Barbiu(s) Oppianus / Luccei(us) Victorin(us) / Iulius Verissimu(s) / Laepili(us) Vitalis / Opimius Onesimus / Ovinius (H)ector / Marcus Menelau(s) / Aurelius Burius / Lucceius Licinius / Valerius Silvanus / Valerius Verus / Rutiliu(s) Pudorat(us) / Aelius Pacatus / Ulpius Romulus / Valeri(us) Eustati(us) // Dedicata d(ominis) n(ostris) Diocletiano et Maximiano Aug(ustis) co(n)s(ulibus) VII Idus Iunias // Domitius / Felicissimus / patronus // Impendi(i)s / suis fecit // Patroni / Mecennius Felix / Aurelius Eutyches / Valerius Demetrius / Sabidius Verianus / Aurelius Magnus / Domitius Felicissimus / Aurelius December / Iulius Iustinus / Lucanius Verecundus / Sempronius Iustinus / Oclatius Fa(v)or / Fanius Primigenius / Terentius Fortunatus // Matres / Herois Cy[s]enia / Eusebia Prima / Aurelia Herais / Lartia Felicitas / Sera Chreste / amatores / Veratius Luxurius / Iulius Primus / Tarsinius Laurus / Iucundus Venerius / Geggius Fortunius / Sempronius Fa(v)or / Iulius Clarus / Antonius Gorgonius / Aurelius Tertius / Servius Crescens / Planius Rufus / Felicissimus Antiochianu(s) / scriba / Concordius Successus // Scriba / Terentius Fortunat(us) / ordo / Iulius Aphrodisi(us) / Maximius Crescens / Gregorius Italicus / Fanus Fuscus / Rutilius Marcellin(us) / Vettius Festus / Aurelius Euhelpist(us) / Terentius Atilius / Aurelius Memor / Aurelius Viator / Flavius Secundus / Aurelius Calemer() / Aurelius Augurius / Dulcitius Sabinus / Cassius Gelasius / Burrius Quintus / Sempronius Donatus / Romanius Romanus / Catenius Rufus / Licinius Ursulus / Serginius Iustinus / Publius Verus / Aurelius Aper // Liberius Liberalis / Iulius Nominat(us) / Antiochian(us) Felicissimu(s) / Concordius Successus / Aurelius Augurinus / Venetius Marcian(us) / Terentius Genialis / Atilius Genialis / Serv(iu)s Eulogianus / Iulius Callistus / Sextilius Augurinus / Aurelius Bassus / Aurelius Fortunius / Aurelius Proculeian(us) / Tarsidius Laurus / Turranius Praesens / Aurelius Celestinus / Burrius Agrippinus / Valerius Sabinus / Rutilius Marcellin(us) / Rutilius Marcellus / Aurelius Memor / Sempronius Iustinus / Epidius Macer / Suranius Iustus / Valerius Maximus / Quint(i)us Verus / Sextilius Victor // Aurelius Stephanus / Aurelius Sabinus / Aurelius Terygius / Cassius Successus // Statia Sura / Iulia Victoria / Tullia Naevia / Volusena Procula / Aurelia Valeria / Oclatia Sabina / Dia Aphrodite	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD005647;N076797 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD005647 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR076797&partId=1	44.4161414	12.2017617			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1977_00265a.jpg;$AE_1977_00265b.jpg
EDCS-78300386	MDAI(R)-2013-335 = AE 2017, 01714	Africa proconsularis	Ain Metouia / Simitthus	128	129	Augusti/Augustae; miliaria; tituli operum; viri	"[Imp(erator) Caesar] / [divi Traiani] / [Parthici f(ilius)] / [divi Nervae nep(os)] / [Traianus] Hadrianus Aug(ustus) / pontifex max(imus) / trib(unicia) potest(ate) [XIII] / co(n)s(ul) III p(ater) p(atriae) / v[i]am a S[imi]tt(hu) / usq[ue] T[habracam f(ecit)] / VII
material: lapis"						
EDCS-09400700	AE 1975, 00883 = AntAfr-1975-198 = AE 1978, 00835 = AE 1983, 00975 = AE 2005, 01685	Africa proconsularis	Bou Assid / Fundus Aufidianus	251	300	mulieres; officium/professio; tituli operum; tituli sepulcrales; viri	"]CA(?) / CIBOS(?) NAO(?) / Agricolae in [spl(endidissima?)] / re p(ublica) Bihensi Bilt[a] / conductori pari/atori restitutori / fundi Aufidiani et / praeter cetera bona q[uae] / in eodem f(undo) fecit steriles / qu[o]que oleastri surculo[s] / inserendo plurimas o[leas] / instituit puteum iux[ta] / viam pomarium cum tric[hilis] / post collectarium vin[eas] / novellas sub silva aequ[e in]/stituit uxor mari[to] / incomparabili fec[it]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0090274;HD000862 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD000862 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0090274	37.033395	9.666923			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1975_00883.jpg;$AE_1975_00883_1.jpg;$AE_1975_00883_2.jpg
EDCS-15600902	CIL 08, 00803 = CIL 08, 12274 = LBIRNA 00387	Africa proconsularis	Bu Fatis, Hr. / Bou Ftis, Hr. / Avitta Bibba	205	205	Augusti/Augustae; litterae erasae; tituli operum; tituli sacri; viri	[Pro salute Im]p(eratoris) Caes(aris) L(uci) Septimi Sev[eri Pii Pertinacis Aug(usti)] Arabici Adi[abenici] / [Parthici max(imi) pont(ificis)] max(imi) trib(unicia) pot(estate) XII im[p(eratoris) XI co(n)s(ulis) III p(atris) p(atriae) et Imp(eratoris) Caes(aris) M(arci) Au]rel[i] An[tonini Aug(usti)] / [[[et P(ubli) Septimi Getae]]] nobilissimi Ca[esaris 3] / [3]viae IIX [3]T[3] / [3] imperatorum [3 Avi]tta thermas s(ua) p(ecunia) f(ecit)	http://db.edcs.eu/epigr/partner.php?s_language=en&param=Z00803.htm	36.4030368	9.70275407			
EDCS-25001205	CIL 08, 13189 = AntAfr-1973-133	Africa proconsularis	Carthago	101	200	mulieres; nomen singulare; officium/professio; servi/servae; tituli sepulcrales; tria nomina; viri	Dis Manibus sacrum / Caecilia Felicitas / pia vix(it) ann(os) XXI / h(ic) s(ita) e(st) / Viator Aug(usti) ser(vus) adiutor / tabul(ariorum) coniugi merenti fecit		36.8527778	10.3233333			
EDCS-26801178	CIL 08, 10960 = CIL 08, 22199	Africa proconsularis	Chemtou / Chimtou / Shimtu / Simitthus			Augusti/Augustae; miliaria; tituli operum; tituli sacri; viri	"Imp(erator) Caesar / divi Traiani / Parthic(i) fil(ius) / divi Nervae nep(os) / [Traianus] / Hadrianus Aug(ustus) / pontifex max(imus) / trib(unicia) pot(estate) XIII / co(n)s(ul) III / viam a Simit[hu] / usq(ue) Thabracam f(ecit) / I
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0039018 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0039018	36.492029	8.577901			
EDCS-27600244	CIL 08, 22201	Africa proconsularis	Chemtou / Chimtou / Shimtu / Simitthus			Augusti/Augustae; miliaria; tituli operum; tituli sacri; viri	"[Imp(erator) C]a[esar] / divi T[ra]iani / Parthic[i f]i[l(ius)] / [di]vi Nervae [nep(os)] / [T]raianus / Hadr[ia]nus Aug(ustus) / pontif(ex) max(imus) / trib(unicia) potest(ate) XIII / c[o(n)s(ul) III] p(ater) [p(atriae)] / via[m a Simitthu] / usq(ue) Tha[bracam f(ecit)] / III
material: lapis"		36.492029	8.577901			
EDCS-27600245	CIL 08, 22202	Africa proconsularis	Chemtou / Chimtou / Shimtu / Simitthus			Augusti/Augustae; miliaria; tituli operum; viri	"Hadrianu]s Aug(ustus) / pontif(ex) max(imus) / trib(unicia) potest(ate) XIII / co(n)s(ul) III p(ater) p(atriae) / viam a Simitt[hu] / [usq(ue)] Thabracam fec(it)
material: lapis"		36.492029	8.577901			
EDCS-27600246	CIL 08, 22203	Africa proconsularis	Chemtou / Chimtou / Shimtu / Simitthus			Augusti/Augustae; miliaria; tituli operum; tituli sacri; viri	"[Imp(erator) Caesar] / [divi Trai]ani / <P=I>ar[thic]i fil(ius) / divi [Ne]rvae nep(os) / Traianus / Hadrianus Aug(ustus) / pontife[x] m[ax(imus)] / trib(unicia) potes[t(ate) XIII] / co(n)s(ul) III <p=I>(ater) [p(atriae)] / viam a Sim[itthu] / [u]sq(ue) Thabraca[m fec(it)] / XIII
material: lapis"		36.492029	8.577901			
EDCS-09701254	AE 1969/70, 00677 = ITebessa 00015 = AntAfr-1973-133	Africa proconsularis	Tebessa / Theveste	101	300	tituli sepulcrales; tria nomina; viri	D(is) M(anibus) s(acrum) / Iulius / Viator / vix(it) an(n)is / LXXII f(ilius) p(atri) c(arissimo) f(ecit)	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD012535 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD012535	35.4035956	8.1212322			
EDCS-03300904	AntAfr-1995-281 = AE 1995, 01673	Africa proconsularis	Tebessa / Theveste	161	180	nomen singulare; servi/servae; tituli sepulcrales; tria nomina; viri	D(is) M(anibus) s(acrum) / M(arcus) Aufidius Munta/nus v(ixit) a(nnos) XII h(ic) s(itus) e(st) / Viator Augg(ustorum) nn(ostrorum) ser(vus) / pater infelicissimus / filio dulcissimo f(ecit)	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD051115 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD051115	35.4035956	8.1212322			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1995_01673.jpg
EDCS-13000670	CIL 08, 01902 (p 2731) = ILAlg-01, 03158 = AntAfr-1973-133	Africa proconsularis	Tebessa / Theveste	171	200	tituli sepulcrales; tria nomina; viri	"D(is) M(anibus) s(acrum) / P(ublius) Aelius Viator / [3] h(ic) s(itus) e(st) / P(ublius) Aelius Felix p/atri pio fecit
material: lapis"		35.4035956	8.1212322			
EDCS-17600324	CIL 09, 06013	Apulia et Calabria / Regio II	Ariano Irpino / Aequum Tuticum			tituli sacri	[6] / Imp(erator) Caesar / divi Nervae f(ilius) / Nerva Traianus / Aug(ustus) Germ(anicus) Dacic(us) / pont(ifex) max(imus) tr(ibunicia) pot(estate) / XIII imp(erator) VI co(n)s(ul) V / p(ater) p(atriae) / viam a Benevento / Brundisium pecun(ia) / sua fecit	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p716	41.1526668	15.0885633			
EDCS-17600328	CIL 09, 06016 = AE 1992, +00298	Apulia et Calabria / Regio II	Ascoli Satriano / Ausculum	108	109	Augusti/Augustae; miliaria; tituli operum; tituli sacri; viri	"LXII / Imp(erator) Caesar / divi Nervae f(ilius) / Nerva Traianus / Aug(ustus) Germ(anicus) Dacic(us) / pont(ifex) max(imus) tr(ibunicia) pot(estate) / XIII imp(erator) VI co(n)s(ul) V / p(ater) p(atriae) / viam a Benevento / Brundisium pecun(ia) / sua fecit
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N100025;cil09_p716 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR100025&partId=1	41.2061199	15.5616103			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
