EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-12401149	CIL 09, 01643 = D 05734a = Campedelli 00062	Apulia et Calabria / Regio II	Benevento / Beneventum				P(ublius) Cerrinius [3 f(ilius)] / L(ucius) Crassicius [3 f(ilius)] / IIvir(i) i(ure) d(icundo) / viam straver[unt] / et lacus fecerun[t d(ecreto) d(ecurionum)] / pro ludis	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p276;CO0096206;de_21dessuoft%23page/414/mode/2up | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0096206	41.1295587	14.7824639			
EDCS-12401150	CIL 09, 01644 = Campedelli 00063	Apulia et Calabria / Regio II	Benevento / Beneventum				C(aius) Ennius M(arci) f(ilius) / C(aius) Bergonius Q(uinti) f(ilius) / aed(iles) / viam straverunt / et lacu{u}s fecerunt	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p276	41.1295587	14.7824639			
EDCS-24100197	CIL 03, 00318 = D 00263 = Freis 00058 = Bosch 00066 = RRMAM-03-02, 00008	Galatia	Mulkkoy	80	81	Augusti/Augustae; litterae erasae; miliaria; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"[I]mp(erator) T(itus) C[ae]sar divi Ves/pasiani f(ilius) Aug(ustus) pont(ifex) max(imus) / trib(unicia) potest(ate) X imp(erator) XV co(n)s(ul) / VI[II] censor p(ater) p(atriae) [et] / Caes(ar) [[[divi f(ilius) Domitianus]]] / co(n)s(ul) VII princ(eps) iuventutis / [per] / A(ulum) Caesennium Gallum / leg(atum) pro pr(aetore) vias provinci/aru[m] G[ala]tiae Cappad[o]/ciae Ponti Pisidiae Pa/phlagoniae Lycaoniae / Armeniae minoris / straverunt / LXXI
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=B405;CO0053194;de_01dessuoft%23page/71/mode/2up | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053194	39.541447	31.732454			
EDCS-20600323	CIL 10, 05909 (p 982) = Horster p 253	Latium et Campania / Regio I	Anagni / Anagnia	207	207	Augusti/Augustae; tituli operum; tituli sacri; viri	Imp(erator) Caesar divi Marci / Antonini Pii Germ(anici) Sarmatici / filius divi Commodi frater divi / Antonini Pii nepos divi Hadriani / pronep(os) divi Traiani Parthici / abn(epos) divi Nervae adnep(os) / L(ucius) Septimius Severus Pius Perti/nax Aug(ustus) Arabic(us) Adiab(enicus) Parthic(us) max(imus) / pontif(ex) max(imus) trib(unicia) pot(estate) XV imp(erator) XII co(n)s(ul) III p(ater) p(atriae) et / Imp(erator) Caesar Imp(eratoris) Caesaris L(uci) / Septimi Severi Pii Pertinacis Aug(usti) Arabici / Adiab(enici) Part(hici) max(imi) fil(ius) divi Marci Anto/nini Pii Germ(anici) Sarm(atici) nepos divi Anto/nini Pii pronepos divi Hadriani / abnepos divi Traiani Parth(hici) adne<p=R>(os) M(arcus) Aurelius Antoninus Aug(ustus) / Pius Felix pontif(ex) trib(unicia) pot(estate) X imp(erator) II co(n)s(ul) III des(ignatus) (!) fortissimus ac super / omnes felicissimus / princeps / viam quae ducit in villam magnam / silice sua pecunia straverunt	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N156065;N094055;cil10_p586-982;CO0047746;HD018052 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD018052 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0047746 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR156065&partId=1	41.744720	13.152694			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-13900380	CIL 01, 02946 (p 930) = ILLRP 00711 = AnalEpi p 237 = Campedelli 00013 = AE 1952, 00054	Latium et Campania / Regio I	Capua / Casilinum	-108	-105	liberti/libertae	] T(iti) L(uci) M(arci) l(ibertus) / [3]onius Q(uinti) l(ibertus) / [Cos]sutius(?) C(ai) l(ibertus) Eup() / [3]onius [3] l(ibertus) Dion(ysius) / [heisce magistreis] hunc cu[n]eum ab [imo ad] / [summum gra]dum I aedifi[c]arunt viam / [3]am straverunt gradusque / [3] refecerunt loedos fecerunt / [3] co(n)s(ulibus)	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N073868;CO0029481;CO0100468;HD018905 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD018905 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0029481 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR073868&partId=1	41.1080196	14.2096653			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-06100106	Epigraphica-2002-120 = Horster p 267 = AE 1982, 00153a = AE 1989, 00144	Latium et Campania / Regio I	Minturno / Minturnae	198	211	litterae erasae	"Imp(erator) Caes(ar) L(ucius) Septim(ius) / Severus Pius Pertin(ax) / Aug(ustus) Arab(icus) Adiab(enicus) / Parthic(us) max(imus) et / Imp(erator) Caes(ar) M(arcus) Aurel(ius) / Antoninus Aug(ustus) / Pius Felix [[[et]]] / [[[P(ublius) Septim(ius) Geta]]] / [[nobiliss(imus) Caes(ar)]]] / via quae ducit a / Minturnis ad / Aquas Vescinas / sua pe<c=Q>(unia) straver(unt)
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N078468;HD001208;CO0047697 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD001208 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0047697 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR078468&partId=1	41.2629744	13.7465219			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1989_00144.jpg;pp
EDCS-21200043	CIL 10, 06467 = Campedelli 00036 = Engfer-2017, 00117	Latium et Campania / Regio I	Sezze / Setia	1	100	ordo decurionum; tituli operum; tria nomina; viri	C(aius) [P]aconius C(ai) f(ilius) / Polio / C(aius) Pomponius L(uci) f(ilius) / Polio / IIIIvir(i) i(ure) d(icundo) viam saxo / de sua pec(unia) straver(unt)	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N156589;cil10_p641 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR156589&partId=1	41.4984145	13.0592171			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-32001296	CIL 03, 14188,3 = RRMAM-02-01, 00982 = RRMAM-03-04, 00004a	Pontus et Bithynia	Asagi Ihsaniye / Filyos / Hisaronu / Tios	78	78	Augusti/Augustae; miliaria; ordo equester; tria nomina; viri	"Imp(erator) Caesar / Vespasianus / [A]ug(ustus) p(ontifex) m(aximus) [t]rib(unicia) [p(otestate)] / [XI i]mp(erator)] XI[I]X / [c]o(n)s(ul) IIX desig(natus) IX / T(itus) Imp(erator) Caesar Aug(usti) / [f(ilius)] trib(unicia) p(otestate) V[I] / co(n)s(ul) V[I desig(natus) VII] / Domitianus Cae/sar Aug(usti) f(ilius) co(n)s(ul) V / [via]m strav[e]r[u]n[t] / per L(ucium) Ant[oniu]m / Nas[on]e[m proc(uratorem)] / [eorum
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0066470 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0066470	41.561043	32.081615			
EDCS-70200043	RRMAM-02-01, 00910 = RRMAM-03-04, 00019	Pontus et Bithynia	Erikli	78	305	Augusti/Augustae; litterae erasae; miliaria; ordo equester; tituli operum; tria nomina; viri	"Imp(erator) Caesar / Vespasianus Aug(ustus) / pont(ifex) max(imus) tr(ibunicia) pot(estate) IX imp(erator) [XIIX] / p(ater) p(atriae) co(n)s(ul) VIII desig(natus) IX / T(itus) Imp(erator) Aug(usti) f(ilius) co(n)s(ul) V[I] des(ignatus) VII / [[[Domitianus]]] / [[[Caes(ar)]]] Aug(usti) f(ilius) co(n)s(ul) V des(ignatus) VI / vias a novo straverunt per / L(ucium) Antonium Nasonem proc(uratorem) / eorum / X // Imp(eratori) Caes(ari) C(aio) Aur(elio) Val(erio) / Diocletiano / P(io) F(elici) Invicto Aug(usto) et / Imp(eratori) Caes(ari) M(arco) Aur(elio) Val(erio) / Maximiano / P(io) F(elici) Invicto Aug(usto) [et] / Fl(avio) Val(erio) Constantio et / Gal(erio) Val(erio) Maximiano / nobill(issimis) Caess(aribus) / mil(ia) // 
material: lapis"		41.738377	34.674278		GR	
EDCS-22900979	CIL 11, 05040 = Campedelli 00111	Umbria / Regio VI	Bevagna / Mevania	1	50	liberti/libertae; sacerdotes pagani; tituli operum; tituli sacri; tria nomina; viri	[C]n(aeus) Mestrius Cn(aei) l(ibertus) / Optatus / C(aius) Egnatius |(mulieris) l(ibertus) / Felix / Cn(aeus) [3]anius Cn(aei) l(ibertus) / [Phoe]bus // T(itus) Bae[bius T(iti) l(ibertus)] / Faus[tus] / C(aius) Aufidi[us C(ai) l(ibertus)] / Agroec[us] / C(aius) Baebius [C(ai) l(ibertus)] / Nothus // VIIIIviri Val(etudinis) viam a porticu ad m[acellum straverunt]	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N157775 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR157775&partId=1	42.9340752	12.6091209			
