EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-20402506	CIL 11, 01062 = D 05372 = Campedelli 00128	Aemilia / Regio VIII	Parma	-27	14	sacerdotes pagani; seviri Augustales; tituli operum; tituli sacri; tria nomina	[Nu]mini August[i] / [Q(uintus?)] Munatius Apsyrtu[s] / [VI]vir et Augustali[s] / [via]m lapide turbinat[o] / [a f]oro ad portam / [st]ravit crepidine[s] / castella posuit port[am] / [m]armoribus statu[is] / [fist]ul{e}is et salientibus / ornavit d(e) p(ecunia) s(ua)	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N082016;de_21dessuoft%23page/356/mode/2up | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR082016&partId=1	44.8014974	10.3280239			
EDCS-46300240	BCTH-1928/29-675	Africa proconsularis	Baghla, Hr. el / Thugga			Augusti/Augustae; miliaria; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"Imp(erator) Cae[sar] / divi [Nervae nepos] / [Traiani] Parthici f(ilius) / Tr[aianus] Hadrianus / Aug(ustus) [pont(ifex)] max(imus) tr(i)b(unicia) / pot(estate) [VII] co(n)s(ul) III / via[m a] Karthagine / Th[evestem str]avit / per [leg(ionem)] III [Aug(ustam)] / [
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ra_MI069MS001	36.4768613	9.4168666			
EDCS-27600141	CIL 08, 22050 = ILAfr 00664q = BCTH-1921-XXXV = AE 2015, +01819 = AE 2016, 01899	Africa proconsularis	Bel Khassem, Hr. / Thugga	121	123	Augusti/Augustae; miliaria; ordo senatorius; tituli sacri; tria nomina; viri	"Imp(erator) Caesar / divi Nervae nepos / divi Traiani Parthici f(ilius) / Traianus Hadrianus / Aug(ustus) pont(ifex) max(imus) trib(unicia) / pot(estate) [VII co(n)s(ul) III] / [viam a Carthagine] / The[vestem stravit] / [per l]eg(ionem) III Aug(ustam)] / P(ublio) M[etil]io Secund[o] / leg(ato) Aug(usti) pr(o) pr(aetore) / LXXXII
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0053276;ra_DU072MS001 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053276	36.4066125	9.2400113			
EDCS-43600066	BCTH-1902-CLXXVI	Africa proconsularis	Djebel Djaffa / Gebel Djaffa			Augusti/Augustae; miliaria; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"Imp(erator) Caesar / divi Nervae nepos / divi Traiani Parthici f(ilius) / Traianus Hadrianus / Aug(ustus) pont(ifex) max(imus) trib(unicia) / pot(estate) VII co(n)s(ul) III / viam a Karthag[ine] / Thevestem str[avit] / per leg(ionem) III [Aug(ustam)] / [P(ublio) Metilio Secundo] / [leg(ato) Aug(usti) pr(o) pr(aetore)
material: lapis"						
EDCS-27600131	CIL 08, 22040 = ILAfr 00664l = ILTun 01732 = BCTH-1921-XXXIV = AE 2015, +01819	Africa proconsularis	Fadden Souk / Thugga	123	123	Augusti/Augustae; miliaria; milites; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"[I]mp(erator) Caesar / [divi Ner]vae nepos / [divi Traiani] Parthici / [f(ilius) Tr]aianu[s Hadr]ianus / [Au]g(ustus) po[nt(ifex) max(imus)] trib(unicia)] / [pot(estate) VII co(n)]s(ul) III / [viam a Karthag]ine / [Thevestem st]ravit / [per leg(ionem) III A]ug(ustam) / [P(ublio) Metilio Secundo] / [leg(ato) Aug(usti) pr(o) pr(aetore)] / LXXVI
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0053274;ra_DU375MS004 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053274	36.412850	9.3164331			
EDCS-27600133	CIL 08, 22042 = ILTun 01732 = AE 2015, +01819	Africa proconsularis	Guettar, Hr. / El Guessa ta el Guetta / Thugga			Augusti/Augustae; miliaria; milites; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"Imp(erator) Ca[esar] / divi Ne[rvae] nepos / divi T[ra]iani Parthici f(ilius) / Traianus Hadrianus / Aug(ustus) [p]ont(ifex) max[imus] / [trib(unicia) pot(estate)] VII co(n)s(ul) III / [via]m a Ka[rthagine] / The[ve]stem s[travit] / per leg(ionem) [III Aug(ustam)] / P(ublio) Metilio [Secundo] / leg(ato) Aug(usti) pr(o) pr(aetore) / LXXVII
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0053275;ra_MI077MS001 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053275	36.4217741	9.3112039			
EDCS-27600130	CIL 08, 22039 = ILTun 01732 = AE 2015, +01819	Africa proconsularis	Guettar, Hr., iuxta (1) / El Guessa ta el Guetta, iuxta (1) / Thugga			Augusti/Augustae; miliaria; milites; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"Imp(erator) Ca[e]sar / divi Nervae ne[pos] / divi Traiani Parthici [f(ilius)] / Traianus H[ad]rianus / Aug(ustus) pont(ifex) ma[x(imus) tr]ib(unicia) / pot(estate) V[II co(n)s(ul) III] / viam a Karth[agine] / Thevestem stravit / per leg(ionem) III Aug(ustam) / P(ublio) Metilio Secundo [3] / [l]eg(ato) Aug(usti) pr(o) pr(aetore) / LXXIV
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0043260;ra_DU638MS001 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0043260	36.4360404	9.3556512			
EDCS-46300242	BCTH-1928/29-676	Africa proconsularis	Guettar, Hr., iuxta (2) / El Guessa ta el Guetta, iuxta (2) / Thugga			Augusti/Augustae; miliaria; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"Imp(erator) Caesar / divi Nervae n[e]pos / divi Traiani Parthici f(ilius) / Traianus [Hadr]ianus / Aug(ustus) po[nt(ifex) max(imus)] trib(unicia) / pot(estate) V[II co(n)s(ul)] III / viam a Ka[rthagi]ne / Thevest[em stra]vit / per leg(ionem) III [Aug(ustam)] / P(ublio) Metilio [Secun]do / leg(ato) Aug(usti) [pr(o) pr(aetore)] / LXXI
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ra_MI071MS001	36.4623163	9.3904303			
EDCS-74700523	BCTH-1908-CCIX = ILAfr 00664w	Africa proconsularis	Kalaa Djerda	122	123	Augusti/Augustae; miliaria; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"Imp(erator) C[aesar] / divi Traiani Parthici [f(ilius)] / divi Nervae nepo[s] / Traianu[s Ha]dri[anus] (!) / pontif(ex) maximus / trib(unicia) potest(ate) VII co(n)s(ul) III / [viam a Karthagine] / Theve[stem stra]vit / [per leg(ionem) III Aug(ustam)] / [P(ublio) Metilio] Secundo / [leg(ato) Aug(usti) pr(o) pr(aetore)] / CXXXIII
material: lapis"		35.7274992	8.51892416			
EDCS-25700344	CIL 08, 10067 = CIL 08, 22022 = BCTH-1928/29-667 = ILTun 01732	Africa proconsularis	Keraan / Thugga			Augusti/Augustae; miliaria; milites; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"Imp(erator) Caesar / div[i Ner]vae nepos / [Traiani] Parthici f(ilius) / [Traianus] Hadrianus / [Aug(ustus) pont(ifex)] max(imus) trib(unicia) / [pot(estate) VII] co(n)s(ul) III / [viam a Kar]thagine / [Thevestem s]travit / per leg(ionem) III Aug(ustam) / P(ublio) Metilio / Secundo / leg(ato) Aug(usti) pr(o) pr(aetore) / LXII
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0037766 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0037766	36.506917	9.4879436			
EDCS-75300366	AE 2016, 01926	Africa proconsularis	Ksar el Arbia, Hr.	122	123	Augusti/Augustae; miliaria; milites; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"[I]mp(erator) Caes(ar) / [divi] Traiani Parthici f(ilius) / [div]i Ne[rvae] ne[pos] / Tr[ai]a[nus Hadrianus Aug(ustus)] / [pontifex maximus] / [trib(unicia) pot(estate) VII co(n)s(ul) III] / [viam a Carthagine] / [Thevestem stravit] / [per leg(ionem) III Aug(ustam)] / [P(ublio) Metilio Secundo] / [leg(ato) pr(o) pr(aetore)] / [CLIV(?)]
material: lapis"		35.716667	8.500000			
EDCS-25700368	CIL 08, 10091 = CIL 08, 22129 = ILTun 01732	Africa proconsularis	Lorbeus, Jebel / Lorbeus, Hr. / Lares			Augusti/Augustae; miliaria; milites; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"[Imp(erator) Caes(ar)] / divi Nervae nepos / divi Traiani Part[hici f(ilius)] / Traianus Hadrianus / Aug(ustus) pont(ifex) max(imus) trib(unicia) / pot(estate) VII co(n)s(ul) III / viam a Karthagine / Theveste[m stravit] / [per leg(ionem) III Aug(ustam)] / [P(ublio) Metilio Secundo] [ leg(ato) Aug(usti) pr(o) pr(aetore)
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0037791 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0037791	36.062500	8.8952778			
EDCS-25700369	CIL 08, 10092 = CIL 08, 22125	Africa proconsularis	Lorbeus, Jebel / Lorbeus, Hr. / Lares			Augusti/Augustae; miliaria; milites; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"Imp(erator) Caesar / divi Nervae nepos / divi Traiani Part[hici f(ilius)] / Traianus Hadrianus / Aug(ustus) pont(ifex) max(imus) trib(unicia) / pot(estate) VII co(n)s(ul) III / [viam] a Kart[h]a[gine] / [Thevestem stravit] / [per leg(ionem) III Aug(ustam)] / [P(ublio) Metilio Secundo] [leg(ato) Aug(usti) pr(o) pr(aetore)
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0012071 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0012071	36.062500	8.8952778			
EDCS-27600148	CIL 08, 22063	Africa proconsularis	Mest, Hr. / Mist / el-Oust, Hr. / El Ust / el-Berrouigue, Hr. / Ain Gueliane / Mustis	123	123	Augusti/Augustae; miliaria; milites; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"Imp(erator) Caes(ar) / divi Nervae nepos / divi Traiani Parthici f(ilius) / Traianus Hadrianus / Aug(ustus) pont(ifex) max(imus) trib(unicia) / pot(estate) VII co(n)s(ul) III / viam a Karthagine / Thevestem stravit / per leg(ionem) III Aug(ustam) / P(ublio) Metilio Secundo / leg(ato) Aug(usti) pr(o) pr(aetore) / LXXXX
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0053278;HD031183;ra_DU574MS001 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD031183 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053278	36.3354139	9.1435996			
EDCS-25600685	CIL 08, 10048 (p 2092) = Louvre 00088 = AE 2015, +01819	Africa proconsularis	Oued Romel, iuxta / Oued Remel, iuxta / Rumel, iuxta / Thugga			Augusti/Augustae; miliaria; milites; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"Imp(erator) Caes(ar) / divi Nervae nepos / divi Traiani Parthici f(ilius) / Traianus Hadrianus / Aug(ustus) pont(ifex) max(imus) trib(unicia) / pot(estate) VII co(n)s(ul) III / viam a Karthagine / Thevestem stravit / per leg(ionem) III Aug(ustam) / P(ublio) Metilio Secundo / leg(ato) Aug(usti) pr(o) pr(aetore) / LXXXV
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0037749;ra_MI085MS001 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0037749	36.3756506	9.2083401			
EDCS-44400335	BCTH-1908-CLXI = ILAfr 00664v	Africa proconsularis	Qalat-As-Sanan	123	123	Augusti/Augustae; miliaria; milites; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"Imp(erator) Caesar / divi Traian[i Parthici f(ilius)] / divi Nervae nepos / Traianus Hadria[nus Aug(ustus)] / pontif(ex) max[imus] / trib(unicia) potest(ate) VII c[o(n)s(ul) III] / viam a Karthagine / Thevestem s[travit] / per leg(ionem) III A[ug(ustam)] / [P(ublio)] Metilio Se[cundo] / leg(ato) Aug(usti) [pr(o) pr(aetore)] / CXXXIX
material: lapis"		35.7643288	8.3444393			
EDCS-75300364	AE 2016, 01924	Africa proconsularis	Sidi Ahmed Salah	122	123	Augusti/Augustae; miliaria; milites; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"[Imp(erator) Caes(ar)] / [divi Traiani Parthici f(ilius)] / [divi Nervae nepos] / [Traianus Hadrianus Aug(ustus)] / [pontifex maximus] / [trib(unicia) pot(estate) VII co(n)s(ul) III] / [viam a Carthagine Thevestem stravit] / per leg(ionem) III Aug(ustam) / [P(ublio) Metilio] Secundo / leg(ato) Aug(usti) pr(o) pr(aetore) / CL
material: lapis"						
EDCS-25700342	CIL 08, 10065 = CIL 08, 22018 = ILTun 01732	Africa proconsularis	Sidi Amara / Avioccala			Augusti/Augustae; miliaria; milites; ordo senatorius; tituli sacri; tria nomina; viri	"Imp(erator) Caesar] / [divi Nervae nepos] / [divi Traiani Parthici f(ilius)] / Traianus H[adrianus] / Aug(ustus) pont(ifex) [max(imus) trib(unicia)] / pot(estate) VII co(n)s(ul) [III] / viam a Karthagine / Thevestem [strav(it)] / pe[r leg(ionem) III Aug(ustam)] / [P(ublio) Metilio Secundo] / [leg(ato) Aug(usti) pr(o) pr(aetore)] / LIIII
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0037764 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0037764	36.200459	9.720033			
EDCS-25700358	CIL 08, 10081 = CIL 08, 22071 = ILTun 01732 = AE 2015, +01819	Africa proconsularis	Sidi Bou Atila / Sidi Bu Atila / Thugga	123	123	Augusti/Augustae; miliaria; milites; ordo senatorius; tituli operum; tria nomina; viri	"T]raia[nus Had]ria[nus] / Aug(ustus) pont(ifex) max(imus) trib(unicia) / pot(estate) VII co(n)s(ul) III / viam a Karthagin(e) / Thevestem strav(it) / per leg(ionem) III Aug(ustam) / [P(ublio)] Metilio Secundo / leg(ato) Aug(usti) pr(o) pr(aetore) / LXXXV
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0037781;ra_DU574MS009 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0037781	36.3764604	9.2075006			
EDCS-25700389	CIL 08, 10114 = CIL 08, 22173 = D 05835 = ILAlg-01, 03951	Africa proconsularis	Tebessa / Theveste	122	123	Augusti/Augustae; litterae erasae; milites; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"Imp(erator) Caesar / divi Traiani / Parthici f(ilius) divi / Nervae nepos / Traianus / Hadrianus / Aug(ustus) / pontif(ex) max(imus) trib(unicia) / pot(estate) VII co(n)s(ul) III viam / a Carthagine The/vestem mil(ia) p(assuum) CXCI/DCCXXXX stravit / P(ublio) Metilio / Secundo leg(ato) / Aug(usti) pro pr(aetore) / co(n)s(ul) desig(nato) / per [[leg(ionem) III]] Aug(ustam)
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0014562;HD031186;de_21dessuoft%23page/436/mode/2up | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD031186 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0014562	35.4035956	8.1212322			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-46300235	BCTH-1928/29-666	Africa proconsularis	Zezia			Augusti/Augustae; miliaria; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"[Imp(erator) Caes(ar)] / [divi Nervae ne]pos / [Traiani] Parthici f(ilius) / [Traianus H]adrianus / [Aug(ustus) pont(ifex)] max(imus) trib(unicia) / [pot(estate) VII co(n)s(ul)] III / [viam] a Karthagine / Thevestem stravit / per leg(ionem) III Aug(ustam) / [P(ublio) Metilio] Secundo / [leg(ato)] Aug(usti) pr(o) pr(aetore) / LX
material: lapis"		36.746389	8.349167			
EDCS-08201369	CIL 09, 00670 = Campedelli 00058	Apulia et Calabria / Regio II	Ascoli Satriano / Ausculum			Augusti/Augustae; ordo decurionum; tituli honorarii; tituli operum; tituli sacri; viri	Aecl]anensium / [3]nia / [3] pat(rono) col(oniae) qui ob / [honorem quin]quennalitat(is) / [3] per XXXXIIII passuum / [ex indulgen]tia divi Pii patris / [3] dec(reto) dec(urionum) stravit / [3 viam Her]donitan(am)	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N085821;cil09_p184 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR085821&partId=1	41.2061199	15.5616103			
EDCS-12400545	CIL 09, 01048 = D 05879 = Campedelli 00065	Apulia et Calabria / Regio II	Frigento / Frequentum / Aeclanum	31	100	liberti/libertae; seviri Augustales; tituli operum; tria nomina; viri	"N(umerius) Bovius N(umeri) / et M(arci) l(ibertus) Hilaru[s] / mag(ister) Aug(ustalis) / viam stravit / long(am) p(edum) LVIII / d(ecreto) d(ecurionum)
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p216;CO0044672;de_21dessuoft%23page/445/mode/2up;N167251 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0044672 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR167251&partId=1	41.011319	15.099747			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_09_01048.jpg;pp
EDCS-12400660	CIL 09, 01156 = D 05878 = EAOR-03, 00033 = Campedelli 00050 = Questori 00174 = Engfer-2017, 00144 = SupIt-29, p 110	Apulia et Calabria / Regio II	Mirabella Eclano / Aeclanum	138	161	Augusti/Augustae; mulieres; ordo decurionum; tituli honorarii; tituli operum; tituli sepulcrales; tria nomina; viri	Ti(berio) Claudio / Ti(beri) fil(io) Ti(beri) nepoti / Cor(nelia) Maximo q(uaestori) / IIvir(o) quinq(uennali) / hic cum ageret ae/tat(is) ann(os) XX in colon(ia) / Aeclan(ensi) munus edidit / impetrata editione ab Imp(eratore) / Antonino Aug(usto) Pio in quo / honore sepultus est / cuius mater Geminia M(ani) fil(ia) / Sabina ob honorem eius in / via ducente Herdonias / tria milia passuum ex d(ecreto) d(ecurionum) in/tra lustrum honoris eius re/praesentata pecunia stravit	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N133922;cil09_p226;CO0068794;de_21dessuoft%23page/445/mode/2up | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0068794 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR133922&partId=1	41.044919	14.998744			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-08201137	CIL 09, 00438 = CIL 01, 01700 (p 1026) = D 05880 = ILLRP 00690 = Campedelli 00072 = Engfer-2017, 00173	Apulia et Calabria / Regio II	Venosa / Venusia	-130	-101	ordo senatorius; praenomen et nomen; tituli operum; viri	Q(uintus) Ovius Ov(i) f(ilius) / tr(ibunus) pl(ebis) viam / stravit	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p170;de_21dessuoft%23page/445/mode/2up	40.961323	15.814863			
EDCS-08201141	CIL 09, 00442 = Campedelli 00075 = Engfer-2017, 00174 = AE 1995, 00345	Apulia et Calabria / Regio II	Venosa / Venusia	1	50	ordo decurionum; sacerdotes pagani; tituli operum; tria nomina; viri	"C(aius) Flaminius C(ai) f(ilius) / Gallus aed(ilis) / viam et crepidin(em?) / ob honorem str(avit) / ex d(ecreto) d(ecurionum) p(assus) c(entum)
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p170;N164607 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR164607&partId=1	40.961323	15.814863			
EDCS-28801200	SupIt-20, 00018 = Campedelli 00073 = Engfer-2017, 00171 = AE 2003, 00370	Apulia et Calabria / Regio II	Venosa / Venusia	-30	-1	ordo decurionum; praenomen et nomen; tituli operum; viri	C(aius) Cas[sius] / C(ai) f(ilius) Ho[r(atia) IIvir] / i(ure) d(icundo) ob h[ono]/rem vi[am] / stra[vit]	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N026018 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR026018&partId=1	40.961323	15.814863			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_2003_00370.jpg
EDCS-00380103	SupIt-20, 00024 = Campedelli 00074 = AE 1994, 00459	Apulia et Calabria / Regio II	Venosa / Venusia	1	100	ordo decurionum; tituli operum; viri	] / aed(ilis) / viam et crepid(inem) / stravit ob hon(orem) / d(ecreto) d(ecurionum)	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N026024;CO0087236 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0087236 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR026024&partId=1	40.961323	15.814863			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$SupIt_20_00024.jpg
EDCS-03300877	AE 1995, 01604	Arabia	?	112	112	Augusti/Augustae; miliaria; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"Imp(erator) Caesar / divi Nervae f(ilius) Nerva / Traianus [Aug(ustus) Germ(anicus)] / Dacicus [pont(ifex) max(imus)] / trib(unicia) po[t(estate) XVI imp(erator) VI] / co(n)s(ul) VI [p(ater) p(atriae) redacta in] / form[am provinciae] / Ar[abia viam novam] / a [finibus Syriae] / usq[ue] a[d mare Rubrum] / aper[uit et stravit per C(aium)] / C[laudium Severum]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD051086 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD051086					
EDCS-31400576	CIL 03, 14150,11 = Samra 00011 = Thomsen-1917, 00099a	Arabia	Amman / Philadelphia	114	114	Augusti/Augustae; miliaria; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"Imp(erator) C[a]esar / divi Nerv[ae f(ilius) Nerva] / Tr[aianus Optimus Aug(ustus)] / Ger[manicus Dacicus] / [po]n[t(ifex) max(imus) trib(unicia)] / [p]ot(estate) XV[III imp(erator) VII co(n)s(ul) VI] / [p(ater)] p(atriae) r[e]dac[ta in formam] / provi[nciae Arabia viam] / [novam a finibus Syriae] / [usque ad mare rubrum] / ap[eruit et stravit per] / C(aium) Cl[audium Severum] / [leg(atum) Aug(usti) pr(o) pr(aetore)]
material: lapis"		31.9515694	35.9239625			
EDCS-73600101	Thomsen-1917, 00090a	Arabia	Amman / Philadelphia	114	114	Augusti/Augustae; miliaria; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"Imp(erator) Caesar divi Nervae fil(ius) Nerva Traianus Aug(ustus) Germanicus Dacicus pont(ifex) maximus trib(unicia) pot(estate) XVIII imp(erator) VII co(n)s(ul) VI p(ater) p(atriae) redacta in formam provinciae Arabia viam novam a finibus Syriae usque ad mare rubrum aperuit et stravit per C(aium) Claudium Severum leg(atum) Aug(usti) pro pr(aetore)
material: lapis"		31.9515694	35.9239625			
EDCS-16700086	AE 1904, 00059	Arabia	Busra / Bostra	111	111	Augusti/Augustae; miliaria; ordo senatorius; tituli operum; tituli sacri; viri	"[Imp(erator) Caesar] / [divi Nervae f(ilius)] / [Nerva Tra]ianus / [Aug(ustus) Ge]rmanicus / [Dacicus pont(ifex)] maximus / [trib(unicia) pot(estate) XV imp(erator) VI co(n)s(ul) V] / [p(ater) p(atriae) redacta in form]am / [provincia] Arabia / [viam no]vam a finibus / [Syriae] usque ad / [mare rubru]m aperuit / [et stravit per] C(aium) / [Claudium] Sever[um] / leg(atum) pro pr(aetore) / [CLXVI]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD033153;1ae1904-14 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD033153	32.5191381	36.4805732			
EDCS-42500001	Samra 00001	Arabia	Busra / Bostra			Augusti/Augustae; miliaria; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"[Imp(erator) Caesar] / [divi Nervae f(ilius)] / [Nerva Tra]ianus / [Aug(ustus) Ge]rmanicus / [Dacicus pont(ifex)] maximus / [trib(unicia) pot(estate) XVIII imp(erator) VII co(n)s(ul) VI] / [p(ater) p(atriae) redacta in form]am / [provinciae] Arabia / [viam no]vam a finibus / [Syriae] usque ad / [mare rubru]m aperuit / [et stravit per] C(aium) / [Claudium] Sever[um] / leg(atum) pr(o) pr(aetore)
material: lapis"		32.5191381	36.4805732			
EDCS-42500004	Samra 00004	Arabia	Busra / Bostra			Augusti/Augustae; miliaria; ordo senatorius; tituli operum; tituli sacri; tria nomina; viri	"[Imp(erator) Caesar] / [divi Nervae f(ilius) Nerva] / Traianus Optim[us] / Aug(ustus) Germanicus Dac(icus) / pont(ifex) maximus trib(unicia) / pot(estate) XVIII im[p(erator) VI]I co(n)s(ul) VI / p(ater) p(atriae) reda[cta in] formam / [provinciae Arab]ia viam / [novam a finibus] Syriae / [usque ad mare rub]rum / [aperuit et stravit per] C(aium) / [Claudium] Severum] / [leg(atum) Aug(usti) pr(o) pr(aetore)]
material: lapis"		32.5191381	36.4805732			
